Classe verdadeira,A (EMB48 IRR),B (EMB48 NIRR),C (BR16 IRR),D (BR16 NIRR),E (CD202 IRR),F (CD202 NIRR)
A (EMB48 IRR),17,0,4,0,1,2
B (EMB48 NIRR),0,16,0,1,0,7
C (BR16 IRR),4,0,10,8,2,0
D (BR16 NIRR),0,0,0,20,0,4
E (CD202 IRR),6,2,4,1,10,1
F (CD202 NIRR),0,6,0,4,0,14
