number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
40,0.6062734576534576,2026-05-21 17:05:09.313773,2026-05-21 17:05:09.358937,0 days 00:00:00.045164,3.647884604092513e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
41,0.6062734576534576,2026-05-21 17:05:09.359165,2026-05-21 17:05:09.403190,0 days 00:00:00.044025,3.4894832836949275e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
57,0.6062734576534576,2026-05-21 17:05:10.072665,2026-05-21 17:05:10.118126,0 days 00:00:00.045461,4.5342673754301306e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
68,0.6062734576534576,2026-05-21 17:05:10.574222,2026-05-21 17:05:10.617824,0 days 00:00:00.043602,3.9002176389496823e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
72,0.6062734576534576,2026-05-21 17:05:10.749268,2026-05-21 17:05:10.792195,0 days 00:00:00.042927,4.753527005335559e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
121,0.6062734576534576,2026-05-21 17:05:12.933308,2026-05-21 17:05:12.977949,0 days 00:00:00.044641,4.976866302671298e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
102,0.6062734576534576,2026-05-21 17:05:12.077351,2026-05-21 17:05:12.120671,0 days 00:00:00.043320,4.545701763393922e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
118,0.6062734576534576,2026-05-21 17:05:12.800634,2026-05-21 17:05:12.844932,0 days 00:00:00.044298,4.1338126606896384e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
111,0.6062734576534576,2026-05-21 17:05:12.488683,2026-05-21 17:05:12.533121,0 days 00:00:00.044438,3.519572727717945e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
113,0.6062734576534576,2026-05-21 17:05:12.577595,2026-05-21 17:05:12.621391,0 days 00:00:00.043796,3.756353082089733e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
91,0.6062734576534576,2026-05-21 17:05:11.582070,2026-05-21 17:05:11.625221,0 days 00:00:00.043151,4.374272937185687e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
93,0.6062734576534576,2026-05-21 17:05:11.668695,2026-05-21 17:05:11.713074,0 days 00:00:00.044379,4.459783319096421e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
101,0.6062734576534576,2026-05-21 17:05:12.033872,2026-05-21 17:05:12.077134,0 days 00:00:00.043262,4.424968117485803e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
98,0.6062734576534576,2026-05-21 17:05:11.903109,2026-05-21 17:05:11.947237,0 days 00:00:00.044128,4.3715375421466406e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
74,0.6062734576534576,2026-05-21 17:05:10.835636,2026-05-21 17:05:10.882543,0 days 00:00:00.046907,3.529742242595977e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
77,0.6062734576534576,2026-05-21 17:05:10.970471,2026-05-21 17:05:11.013875,0 days 00:00:00.043404,4.072396379342767e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
84,0.6062734576534576,2026-05-21 17:05:11.275559,2026-05-21 17:05:11.318467,0 days 00:00:00.042908,4.2528160728373675e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
82,0.6062734576534576,2026-05-21 17:05:11.189040,2026-05-21 17:05:11.232073,0 days 00:00:00.043033,4.747282555932167e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
66,0.6062734576534576,2026-05-21 17:05:10.481435,2026-05-21 17:05:10.527490,0 days 00:00:00.046055,3.771604238665851e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
63,0.6062734576534576,2026-05-21 17:05:10.348896,2026-05-21 17:05:10.392250,0 days 00:00:00.043354,4.563511908865882e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
61,0.6062734576534576,2026-05-21 17:05:10.261333,2026-05-21 17:05:10.304453,0 days 00:00:00.043120,4.207375123938797e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
71,0.6062734576534576,2026-05-21 17:05:10.705621,2026-05-21 17:05:10.749048,0 days 00:00:00.043427,4.789475812703875e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
73,0.6062734576534576,2026-05-21 17:05:10.792413,2026-05-21 17:05:10.835407,0 days 00:00:00.042994,4.453100589717166e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
