band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
1731,326.28040190879256,6.20775426604171e-73,2.316052763493687e-72,19.931920000452862,2.945209383758269e-79,1.081923925760089e-78,-0.43235459747172583,8.060571027891268e-80,2.961054211784331e-79,-0.4341571526796171,1.521285138066611e-80,5.6757669474047695e-80,5.6757669474047695e-80,spearman,True,0.7691208449047088,1.044148473148638,0.6666666666666666,0.8826378597906728,nao_irrigado,584
1504,315.0345944855011,1.747833874622189e-70,6.26015832760514e-70,-20.380325364340543,4.1349364572523444e-81,1.5480798687517923e-80,0.44039822172757415,4.373315141912704e-83,1.6782596857090003e-82,0.42660956603047756,1.5320617309926124e-77,5.4873344331718734e-77,1.6782596857090003e-82,pearson,True,0.7653554543240599,1.0417109312612047,0.6666666666666666,0.8798465401800357,irrigado,585
731,325.2952793710483,1.0174282720065601e-72,3.7632587892290836e-72,-19.889772818630107,3.4350822295263965e-79,1.2597255479952605e-78,0.4315538216748234,1.685244581862833e-79,6.16966031758642e-79,0.4335012424353356,2.7939757846198457e-80,1.0334344167208344e-79,1.0334344167208344e-79,spearman,True,0.7649904989129238,1.0389905182807264,0.6666666666666666,0.8784581244038092,irrigado,586
2087,342.86382029777087,1.517710958511378e-76,5.962634094773221e-76,-19.210316629400854,6.7832854699182415e-74,2.3549726130620843e-73,0.41901516776678527,1.3514179324728153e-74,4.684188930458194e-74,0.445053577089899,5.131124827830619e-85,2.015866042963071e-84,2.015866042963071e-84,spearman,True,0.7711458112728384,1.0298448711349075,0.6666666666666666,0.8771124737501523,irrigado,587
1737,325.7356257966382,8.158152480675381e-73,3.0279567670071493e-72,19.869100316656127,1.6193661829342836e-78,5.908349621605731e-78,-0.43130380835350746,2.120740687212396e-79,7.750802273502447e-79,-0.43379455466124495,2.129279831687774e-80,7.902974712084674e-80,7.902974712084674e-80,spearman,True,0.7651345810178091,1.0356440655461125,0.6666666666666666,0.8770170576204315,nao_irrigado,588
724,322.51103678252275,4.111020436634724e-72,1.512771047658908e-71,-19.919167651452206,3.469439901024046e-79,1.2701578104430452e-78,0.4321257674226044,9.953643897637306e-80,3.650235620481667e-79,0.43164206022883345,1.5538577034592615e-79,5.717877062900604e-79,3.650235620481667e-79,pearson,True,0.760359475800858,1.0321499318727219,0.6666666666666666,0.8732959001197776,irrigado,589
860,314.0325535617894,2.8892028307486816e-70,1.0313782198137734e-69,20.036662415702562,3.8377751995996184e-80,1.4244177727011365e-79,-0.4338216087198708,2.076557305380097e-80,7.654411062198677e-80,-0.4259305601087344,2.829551418622097e-77,1.0100840529267254e-76,7.654411062198677e-80,pearson,True,0.7468401414115106,1.017134320714774,0.6666666666666666,0.8604551746234947,nao_irrigado,590
544,322.5731627144489,3.984901501283221e-72,1.4688770713992525e-71,19.67069913710045,9.084724838390044e-78,3.3033965613705932e-77,-0.4276362419261667,6.042951877248412e-78,2.1825720309591322e-77,-0.4316836322541342,1.4955447420481868e-79,5.512736965114157e-79,5.512736965114157e-79,spearman,True,0.7490014105064298,1.0132208403384115,0.6666666666666666,0.8596666795468453,nao_irrigado,591
732,319.61849851523766,1.753883231282645e-71,6.3452778855663375e-71,-19.662436458988346,1.2842836858196713e-77,4.662036555450124e-77,0.42752269719165126,6.698863548419511e-78,2.4154123767707266e-77,0.42970204401335305,9.205491239596764e-79,3.330404153854115e-78,3.330404153854115e-78,spearman,True,0.7422426889594071,1.0034589042241315,0.6666666666666666,0.8522323835992591,irrigado,592
543,321.05625196481105,8.527620422313233e-72,3.116642225774003e-71,19.60170384410915,3.2315358514362122e-77,1.1651964001235604e-76,-0.42643560169934114,1.7930725772465237e-77,6.422188280837966e-77,-0.4306674330348659,3.8036383247167793e-79,1.3901392448667277e-78,1.3901392448667277e-78,spearman,True,0.7425704181598753,1.0027123089660612,0.6666666666666666,0.8520438938733381,nao_irrigado,593
1806,320.94951391734287,8.996581012406371e-72,3.2824537513856185e-71,-19.573242876670136,4.2410367306850905e-77,1.5240782498732874e-76,0.4256859812103292,3.5280986867281884e-77,1.2573605435785866e-76,0.43059583744696883,4.061712057665382e-79,1.4819387456575393e-78,1.4819387456575393e-78,spearman,True,0.7407437404597403,0.9999660675369162,0.6666666666666666,0.8499860802651621,irrigado,594
1503,307.8953181889965,6.276541713064787e-69,2.200373269392533e-68,-20.13322566652403,2.048318727201328e-79,7.537392028691188e-79,0.43607998837736905,2.540300940827858e-81,9.428509018720323e-81,0.4217479775298831,1.201044797919281e-75,4.2105143078768917e-75,9.428509018720323e-81,pearson,True,0.7385022511596331,1.0003008635571011,0.6666666666666666,0.8491280682891971,irrigado,595
545,320.21659718362844,1.2993367850832792e-71,4.732669069735537e-71,19.564279167074684,4.336904644580649e-77,1.5559278933562297e-76,-0.4257129117256166,3.4434480808382646e-77,1.229230884671334e-76,-0.4301039045151311,6.37404292985928e-79,2.321664111231795e-78,2.321664111231795e-78,spearman,True,0.7389598154057574,0.9978222856129142,0.6666666666666666,0.8482186121250689,nao_irrigado,596
2086,335.28742235117716,6.779645253820122e-75,2.615701553044783e-74,-18.926680691088045,6.282720951963949e-72,2.1465130883577943e-71,0.41388380668876484,1.1982775231158737e-72,4.093956116337063e-72,0.44010884528353744,5.752095725421442e-83,2.2192556039372853e-82,2.2192556039372853e-82,spearman,True,0.7417215123140226,0.9841241851083694,0.6666666666666666,0.8432972305067431,irrigado,597
546,318.7326916470256,2.7349546107303608e-71,9.861438688690512e-71,19.489047319103957,1.2943134284763821e-76,4.6280857866817725e-76,-0.42433502188364014,1.1896193219185876e-76,4.2186335359786213e-76,-0.42910618189002686,1.5861544032836124e-78,5.719204383651817e-78,5.719204383651817e-78,spearman,True,0.7322313620849645,0.9874697327263375,0.6666666666666666,0.8405321593317526,nao_irrigado,598
