dia,band,wavelength_nm,h_stat,p_value,mean_irrigated,mean_non_irrigated,direction,q_value,rank_kruskal,selected_top_k
dia2,band_1552,1552,10.829999999999998,0.0009986863791802592,0.34531055383410525,0.36557435746296313,nao_irrigado,0.016687364300334594,1,True
dia2,band_1553,1553,10.829999999999998,0.0009986863791802592,0.3460960172614895,0.36632296170966167,nao_irrigado,0.016687364300334594,2,True
dia2,band_1554,1554,10.829999999999998,0.0009986863791802592,0.34686972057450877,0.36706031447142334,nao_irrigado,0.016687364300334594,3,True
dia2,band_1555,1555,10.829999999999998,0.0009986863791802592,0.34763265333816223,0.3677864323917565,nao_irrigado,0.016687364300334594,4,True
dia2,band_1556,1556,10.829999999999998,0.0009986863791802592,0.3483847182936329,0.3685014744776858,nao_irrigado,0.016687364300334594,5,True
dia2,band_1557,1557,10.829999999999998,0.0009986863791802592,0.349126532906195,0.3692057095184875,nao_irrigado,0.016687364300334594,6,True
dia2,band_1558,1558,10.829999999999998,0.0009986863791802592,0.3498583941517346,0.36989939115608755,nao_irrigado,0.016687364300334594,7,True
dia2,band_1559,1559,10.829999999999998,0.0009986863791802592,0.35057839953923026,0.37058178851059026,nao_irrigado,0.016687364300334594,8,True
dia2,band_1560,1560,10.829999999999998,0.0009986863791802592,0.3512869118888134,0.37125320359864494,nao_irrigado,0.016687364300334594,9,True
dia2,band_1561,1561,10.829999999999998,0.0009986863791802592,0.351984244298609,0.3719143094326319,nao_irrigado,0.016687364300334594,10,True
dia2,band_1562,1562,10.829999999999998,0.0009986863791802592,0.3526702331808665,0.3725651932679294,nao_irrigado,0.016687364300334594,11,True
dia2,band_1563,1563,10.829999999999998,0.0009986863791802592,0.35334608998469536,0.37320622933959074,nao_irrigado,0.016687364300334594,12,True
dia2,band_1564,1564,10.829999999999998,0.0009986863791802592,0.3540127662153559,0.37383836222275457,nao_irrigado,0.016687364300334594,13,True
dia2,band_1565,1565,10.829999999999998,0.0009986863791802592,0.3546693600949655,0.3744602078529023,nao_irrigado,0.016687364300334594,14,True
dia2,band_1544,1544,10.453333333333347,0.0012242832644311999,0.3386008116826678,0.35916953142688346,nao_irrigado,0.016687364300334594,15,True
dia2,band_1545,1545,10.453333333333347,0.0012242832644311999,0.3394817395829128,0.36001225685416055,nao_irrigado,0.016687364300334594,16,True
