rank,wavelength_nm,resolved_wavelength_nm,band_column,resolved_exact_match,q_FDR_BH
1,707,707,band_707,True,5.484888861730042e-25
2,730,730,band_730,True,3.683264894615456e-22
3,1381,1349,band_1349,False,6.342996960151935e-19
4,580,580,band_580,True,1.1748562778981517e-15
5,1410,1451,band_1451,False,8.194148188036897e-11
