target,model,classe,classe_codigo,precision,recall,f1,support
gen,XGBoost,BR16,0,0.75,0.75,0.75,8
gen,XGBoost,CD202,1,0.42857142857142855,0.375,0.4,8
gen,XGBoost,EMB48,2,0.4444444444444444,0.5,0.47058823529411764,8
