target,model,classe,classe_codigo,precision,recall,f1,support
gen,LDA,BR16,0,0.875,0.875,0.875,8
gen,LDA,CD202,1,0.8571428571428571,0.75,0.8,8
gen,LDA,EMB48,2,0.6666666666666666,0.75,0.7058823529411765,8
