target,model,n_trials,cv_splits,n_bandas,bandas,objective,accuracy_media,accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,best_params
condicao,Random Forest,250,4,5,band_400|band_579|band_1580|band_530|band_739,0.9593726083226084,0.9583333333333333,0.016037507477489613,0.9583226083226084,0.016025123301831305,0.9166666666666666,0.03207501495497923,"{""rf_class_weight"": ""balanced_subsample"", ""rf_max_depth"": 6, ""rf_max_features"": ""sqrt"", ""rf_min_samples_leaf"": 1, ""rf_min_samples_split"": 11, ""rf_n_estimators"": 850}"
condicao_genotipo,LDA,250,4,5,band_400|band_530|band_550|band_401|band_720,0.6062734576534576,0.6458333333333333,0.0730543233243495,0.6055701243201242,0.10996665014794872,0.575,0.08766518798921943,"{""lda_shrinkage"": 3.647884604092513e-05, ""lda_shrinkage_mode"": ""float"", ""lda_solver"": ""eigen""}"
condicao_genotipo_turno,LDA,250,4,5,band_400|band_530|band_550|band_401|band_720,0.4257968614718615,0.45833333333333337,0.11675481678628236,0.4252976190476191,0.1252034902462401,0.40909090909090906,0.1273688910395807,"{""lda_shrinkage"": 0.00023906781835116866, ""lda_shrinkage_mode"": ""float"", ""lda_solver"": ""lsqr""}"
