interval_label,threshold,rank,region_start,region_end,n_components,rmsecv,r2cv,auc,accuracy
thr_0p05_rank_01_763_986,0.05,1,763,986,1,0.4514215058430113,0.18487014863544526,0.7512000768049154,0.7107390300230947
thr_0p05_rank_01_763_986,0.05,1,763,986,2,0.39757684710848196,0.3677272302538336,0.8541613329919783,0.7823325635103926
thr_0p05_rank_01_763_986,0.05,1,763,986,3,0.37262015327962394,0.44461392324661775,0.8748786589008363,0.8279445727482679
thr_0p05_rank_01_763_986,0.05,1,763,986,4,0.3649285788998947,0.46730568800539873,0.8902969790066565,0.8394919168591224
thr_0p05_rank_01_763_986,0.05,1,763,986,5,0.3552923339693234,0.4950667365551207,0.9066980286738352,0.8354503464203233
thr_0p05_rank_01_763_986,0.05,1,763,986,6,0.35327729324267604,0.5007779536427224,0.9091141833077316,0.8481524249422633
thr_0p05_rank_01_763_986,0.05,1,763,986,7,0.35290791122008713,0.5018213676845111,0.9102675904591226,0.8498845265588915
thr_0p05_rank_01_763_986,0.05,1,763,986,8,0.350869490212965,0.5075597768488314,0.9128824244751665,0.8516166281755196
thr_0p05_rank_01_763_986,0.05,1,763,986,9,0.3504970003319134,0.508604790105109,0.9137184779825909,0.8521939953810623
thr_0p05_rank_01_763_986,0.05,1,763,986,10,0.34995074826683364,0.5101352823848234,0.9147798792456051,0.8498845265588915
thr_0p05_rank_01_763_986,0.05,1,763,986,11,0.34799852496527095,0.5155855227925276,0.9170680256869773,0.8469976905311778
thr_0p05_rank_01_763_986,0.05,1,763,986,12,0.3476886603617254,0.5164478027271158,0.917926747311828,0.8475750577367206
thr_0p05_rank_01_763_986,0.05,1,763,986,13,0.34697440755518316,0.5184324734960912,0.9186027905785971,0.8452655889145496
thr_0p05_rank_01_763_986,0.05,1,763,986,14,0.34648865472129714,0.519779887273504,0.920140222307561,0.8446882217090069
thr_0p05_rank_01_763_986,0.05,1,763,986,15,0.3466984618085643,0.5191981418912789,0.9204269073220686,0.8475750577367206
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,1,0.3489457599052748,0.5129448287965384,0.9165373250554703,0.8406466512702079
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,2,0.3322981581757952,0.5583093804703843,0.9339091035159583,0.8747113163972287
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,3,0.3289041099243545,0.5672860379562756,0.9328477022529442,0.8735565819861432
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,4,0.32690319835217835,0.5725349156809254,0.934965171104284,0.8700923787528868
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,5,0.3267236525346411,0.5730043420539068,0.935514539597201,0.8735565819861432
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,6,0.3270618719437535,0.5721198455212138,0.9344451378221539,0.8712471131639723
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,7,0.32672803935951655,0.5729928756802015,0.9360599078341013,0.8712471131639723
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,8,0.3249269007506195,0.5776877842104262,0.937821353899983,0.8793302540415704
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,9,0.324553388128218,0.5786581457295801,0.9383480542754736,0.8764434180138568
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,10,0.3244105050167143,0.5790290516290855,0.9384067246970473,0.875866050808314
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,11,0.3243614265470837,0.5791564152425595,0.9379786973032941,0.8764434180138568
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,12,0.3247399272365717,0.5781736687611188,0.9378506891107697,0.871824480369515
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,13,0.325290778313277,0.5767413806656261,0.9371333098651647,0.8689376443418014
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,14,0.3257003940567581,0.5756747500443157,0.936990634067247,0.8666281755196305
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,15,0.326218074903911,0.574324800023015,0.9365039362519201,0.8654734411085451
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,1,0.4134293065250595,0.3163011874172321,0.8281703362348524,0.7580831408775982
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,2,0.3662410063367822,0.4634672394337428,0.9033258128520227,0.8169745958429562
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,3,0.3545034597059379,0.4973065070368229,0.9116956818569721,0.8331408775981525
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,4,0.35074828452506623,0.5078999389232519,0.9166373314558799,0.8383371824480369
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,5,0.33941967123915706,0.5391746892244238,0.9319809801160609,0.8493071593533488
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,6,0.33276332799637104,0.5570719077413642,0.9373773254821642,0.8573903002309469
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,7,0.32970356161802233,0.5651799266491142,0.9387640809011777,0.8637413394919169
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,8,0.32821257419749833,0.5691037263063163,0.940689537463731,0.8648960739030023
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,9,0.32754414585520536,0.5708570411672067,0.942340309779826,0.8700923787528868
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,10,0.3272473282101565,0.5716344599670042,0.9432403673835125,0.8724018475750578
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,11,0.3277075521072453,0.5704287499864258,0.942933681088923,0.8735565819861432
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,12,0.32831492646596805,0.5688349365566642,0.94248698583376,0.8735565819861432
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,13,0.3284142774024393,0.568573948518997,0.9427616700802184,0.8724018475750578
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,14,0.32912959010840087,0.5666925405516019,0.9423389763611537,0.8700923787528868
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,15,0.3293748316273002,0.566046566607852,0.9418442780337942,0.8695150115473441
thr_0p05_rank_04_351_553,0.05,4,351,553,1,0.36616771735743464,0.463681950530235,0.9066566926949992,0.8366050808314087
thr_0p05_rank_04_351_553,0.05,4,351,553,2,0.3620543444953097,0.47566380990453727,0.9152932454343743,0.8389145496535797
thr_0p05_rank_04_351_553,0.05,4,351,553,3,0.35958992374251825,0.4827775882900279,0.9177534028844513,0.8354503464203233
thr_0p05_rank_04_351_553,0.05,4,351,553,4,0.35981430172879963,0.482131910960479,0.9214256379074928,0.8354503464203233
thr_0p05_rank_04_351_553,0.05,4,351,553,5,0.35962932347621024,0.4826642394982391,0.9224577039597202,0.8423787528868361
thr_0p05_rank_04_351_553,0.05,4,351,553,6,0.3599114861977917,0.48185212479412043,0.921252293480116,0.8435334872979214
thr_0p05_rank_04_351_553,0.05,4,351,553,7,0.3599929010224515,0.48161767998584537,0.9194148425499231,0.8389145496535797
thr_0p05_rank_04_351_553,0.05,4,351,553,8,0.3592841178325538,0.4836569367018958,0.9188254714968425,0.8400692840646651
thr_0p05_rank_04_351_553,0.05,4,351,553,9,0.3598498763168988,0.4820295033874584,0.9170360236388462,0.8377598152424942
thr_0p05_rank_04_351_553,0.05,4,351,553,10,0.3594476089455898,0.4831869091949944,0.9188254714968425,0.8423787528868361
thr_0p05_rank_04_351_553,0.05,4,351,553,11,0.36030051535477003,0.4807313849452519,0.9186294589520396,0.8400692840646651
thr_0p05_rank_04_351_553,0.05,4,351,553,12,0.3604524827618288,0.48029325875142737,0.9194641790407919,0.8429561200923787
thr_0p05_rank_04_351_553,0.05,4,351,553,13,0.36104972379336225,0.4785696066696903,0.9191961618876942,0.8400692840646651
thr_0p05_rank_04_351_553,0.05,4,351,553,14,0.361815153405288,0.47635638613543907,0.9174040471923537,0.8423787528868361
thr_0p05_rank_04_351_553,0.05,4,351,553,15,0.36306326608660067,0.47273744704218745,0.9156332671957672,0.8371824480369515
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,1,0.35892405896495794,0.4846913311103329,0.9057166325311485,0.8233256351039261
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,2,0.3490330521968038,0.5127011148168659,0.9093421979006657,0.859122401847575
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,3,0.34534684973042273,0.5229396690540506,0.9144251898788189,0.8672055427251733
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,4,0.3373533197984051,0.5447685224403211,0.9214429723502304,0.8695150115473441
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,5,0.33114238400799634,0.5613765465916694,0.9274673579109063,0.8481524249422633
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,6,0.3284093989257462,0.5685867657833454,0.9287354390681004,0.855080831408776
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,7,0.31766841947238467,0.5963449481264183,0.9432083653353815,0.8735565819861432
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,8,0.31513404839217396,0.6027600074382429,0.944543117426182,0.8793302540415704
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,9,0.3134200820250605,0.6070693129803357,0.9458992042157365,0.8752886836027713
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,10,0.3122897569588559,0.6098983501301165,0.9469779399214884,0.878175519630485
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,11,0.3118535937544521,0.6109872693934444,0.9482700226147807,0.875866050808314
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,12,0.3116096877839819,0.6115955383046803,0.948968733998976,0.8793302540415704
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,13,0.31185929511977656,0.6109730452574298,0.9488327252944189,0.8816397228637414
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,14,0.31158662474568644,0.6116530298130056,0.9493127560163849,0.8816397228637414
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,15,0.3111005720433388,0.612863671449006,0.9493647593445981,0.8856812933025404
thr_0p05_rank_06_556_677,0.05,6,556,677,1,0.4752333629344805,0.09660818464357757,0.6700402159071513,0.6478060046189377
thr_0p05_rank_06_556_677,0.05,6,556,677,2,0.45186425359805604,0.18327042913448155,0.7618407578084998,0.674364896073903
thr_0p05_rank_06_556_677,0.05,6,556,677,3,0.3987237294607561,0.3640741584561489,0.8731892174432497,0.7759815242494227
thr_0p05_rank_06_556_677,0.05,6,556,677,4,0.3892636560226457,0.39389199163383337,0.896878733572282,0.8106235565819861
thr_0p05_rank_06_556_677,0.05,6,556,677,5,0.38431670591888767,0.4091995270858996,0.8900942993684929,0.8175519630484989
thr_0p05_rank_06_556_677,0.05,6,556,677,6,0.37603788893919426,0.4343790075063366,0.8994788999829322,0.8273672055427251
thr_0p05_rank_06_556_677,0.05,6,556,677,7,0.3722777502638911,0.44563414984249106,0.9042098694316435,0.8273672055427251
thr_0p05_rank_06_556_677,0.05,6,556,677,8,0.3702423816343602,0.4516793908187112,0.9072247290493258,0.8273672055427251
thr_0p05_rank_06_556_677,0.05,6,556,677,9,0.3687765484603244,0.45601252778602375,0.9091821876600102,0.8267898383371824
thr_0p05_rank_06_556_677,0.05,6,556,677,10,0.36873952568177437,0.4561217479457257,0.9106036119644992,0.8308314087759815
thr_0p05_rank_06_556_677,0.05,6,556,677,11,0.36942241080185895,0.4541054179807852,0.9098475635774024,0.8337182448036952
