analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia5_BR16,dia5 - BR16,dia5,BR16,XGBoost,Nao irrigado,0,0.0,0.0,0.0,4
dia5_BR16,dia5 - BR16,dia5,BR16,XGBoost,Irrigado,1,0.5,1.0,0.6666666666666666,4
