analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia5_BR16,dia5 - BR16,dia5,BR16,SVM (RBF),Nao irrigado,4,0
dia5_BR16,dia5 - BR16,dia5,BR16,SVM (RBF),Irrigado,0,4
