analysis,data_coleta,turno,n_bandas,median_neglog10_q,prop_q_lt_0_05,prop_q_lt_0_01,prop_q_lt_1e_3
cond,D02M,MANHA,2051,0.8252625987763857,0.28473915163334956,0.18820087762067284,0.12920526572403707
cond,D02T,TARDE,2051,9.245856173745251,0.8459288152120916,0.8293515358361775,0.7922964407606046
cond,D03M,MANHA,2051,6.3763325497579375,0.9336908824963432,0.9224768405655778,0.89419795221843
cond,D03T,TARDE,2051,4.951282958802642,0.8444661140906875,0.7986348122866894,0.7420770355923939
cond,D04M,MANHA,2051,3.828191708975177,0.8751828376401756,0.7362262311067772,0.5875182837640176
cond,D05M,MANHA,2051,7.046721387009356,0.9858605558264262,0.9829351535836177,0.9722086786933203
cond,D06M,MANHA,2051,14.294575378450745,0.9887859580692345,0.9858605558264262,0.9824475865431497
cond,D09M,MANHA,2051,5.162665127466144,0.9751340809361287,0.9278400780107264,0.8629936616284739
cond,D09T,TARDE,2051,1.3875315637849397,0.5255972696245734,0.37591418820087763,0.28473915163334956
cond,D10M,MANHA,2051,3.184321828587609,0.810823988298391,0.7284251584592881,0.5363237445148707
gen,D02M,MANHA,2051,1.793429953618571,0.8547050219405168,0.4202827888834715,0.196977084349098
gen,D02T,TARDE,2051,4.687290011366649,0.9161384690394929,0.878595806923452,0.8371526084836665
gen,D03M,MANHA,2051,5.7554957999321905,0.9527059970745978,0.9039492930277914,0.8517796196977084
gen,D03T,TARDE,2051,6.9535533796920985,1.0,1.0,1.0
gen,D04M,MANHA,2051,2.6727557951292584,0.9312530472940029,0.8439785470502194,0.3174061433447099
gen,D05M,MANHA,2051,7.779352804599941,1.0,0.9502681618722575,0.9171136031204291
gen,D06M,MANHA,2051,1.4627361088853075,0.5884934178449537,0.09605070697220867,0.046318868844466114
gen,D09M,MANHA,2051,0.320724162757465,0.07069722086786934,0.05704534373476353,0.04826913700633837
gen,D09T,TARDE,2051,0.3343462276389581,0.13066796684544124,0.10482691370063384,0.08922476840565578
gen,D10M,MANHA,2051,0.7052281024426293,0.12140419307654803,0.09068746952705997,0.05704534373476353
gen_cond,D02M,MANHA,2051,4.492592724315675,0.9931740614334471,0.9648951730862994,0.8956606533398342
gen_cond,D02T,TARDE,2051,12.085641826448239,0.9414919551438323,0.9356411506582155,0.9278400780107264
gen_cond,D03M,MANHA,2051,10.58186308671087,0.961969770843491,0.9546562652364701,0.9390541199414919
gen_cond,D03T,TARDE,2051,10.368398448159594,1.0,1.0,1.0
gen_cond,D04M,MANHA,2051,10.54358193704725,1.0,1.0,1.0
gen_cond,D05M,MANHA,2051,13.600680016508335,1.0,1.0,1.0
gen_cond,D06M,MANHA,2051,14.603706357438424,1.0,1.0,0.9965870307167235
gen_cond,D09M,MANHA,2051,13.381943304224208,0.9800097513408094,0.9585568015602145,0.9375914188200878
gen_cond,D09T,TARDE,2051,3.810223404810461,1.0,1.0,0.9249146757679181
gen_cond,D10M,MANHA,2051,7.524475147328992,0.9765967820575329,0.961482203803023,0.9444173573866407
