dia,n_components,n_amostras,accuracy_media,balanced_accuracy_media,f1_irrigado,f1_macro,roc_auc,kappa,precision_irrigado,recall_irrigado
dia2,2,24,0.625,0.625,0.64,0.6243478260869566,0.7152777777777777,0.25,0.6153846153846154,0.6666666666666666
dia3,2,24,0.9583333333333334,0.9583333333333333,0.9565217391304348,0.9582608695652174,0.9930555555555555,0.9166666666666666,1.0,0.9166666666666666
dia4,2,24,0.9583333333333334,0.9583333333333333,0.9565217391304348,0.9582608695652174,1.0,0.9166666666666666,1.0,0.9166666666666666
dia5,2,24,0.9583333333333334,0.9583333333333333,0.9565217391304348,0.9582608695652174,1.0,0.9166666666666666,1.0,0.9166666666666666
dia6,2,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dia9,2,24,0.875,0.875,0.8695652173913043,0.8747826086956522,0.923611111111111,0.75,0.9090909090909091,0.8333333333333334
