feature,vip_mean,vip_std,rank
band_1200,6.288645718665045,0.7922740194614828,1
band_970,6.288376622137292,0.7356758007038873,2
band_1451,6.018584660192123,1.0084574112373592,3
band_670,5.620575752856837,1.2796164702837933,4
band_1951,5.488220546980376,1.2747613685268415,5
NDRE,3.5976928078435546,0.5418952783194383,6
