cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR_BR16_manha_tarde,prob_IRR_BR16_unico,prob_IRR_CD202_manha_tarde,prob_IRR_CD202_unico,prob_IRR_EMB48_manha_tarde,prob_IRR_EMB48_unico,prob_NIRR_BR16_manha_tarde,prob_NIRR_BR16_unico,prob_NIRR_CD202_manha_tarde,prob_NIRR_CD202_unico,prob_NIRR_EMB48_manha_tarde,prob_NIRR_EMB48_unico
BR16,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,6,NIRR|BR16|unico,NIRR|BR16|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
BR16,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,8,NIRR|BR16|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.2,0.0
CD202,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,5,IRR|CD202|unico,IRR|EMB48|unico,False,0.0,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,4,IRR|CD202|unico,IRR|EMB48|manha + tarde,False,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,5,IRR|CD202|unico,IRR|EMB48|unico,False,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,1,IRR|CD202|unico,IRR|BR16|unico,False,0.0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
CD202,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,8,NIRR|CD202|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2
CD202,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,2,NIRR|CD202|unico,IRR|CD202|manha + tarde,False,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
CD202,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,8,NIRR|CD202|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2
CD202,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,8,NIRR|CD202|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0
EMB48,IRR,2017-02-25,dia4,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,3,IRR|EMB48|unico,IRR|CD202|unico,False,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-25,dia4,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,3,IRR|EMB48|unico,IRR|CD202|unico,False,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-25,dia4,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,3,IRR|EMB48|unico,IRR|CD202|unico,False,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-25,dia4,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,4,IRR|EMB48|unico,IRR|EMB48|manha + tarde,False,0.0,0.0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,NIRR,2017-02-25,dia4,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),11,10,NIRR|EMB48|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2
EMB48,NIRR,2017-02-25,dia4,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),11,9,NIRR|EMB48|unico,NIRR|CD202|unico,False,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0
EMB48,NIRR,2017-02-25,dia4,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),11,10,NIRR|EMB48|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2
EMB48,NIRR,2017-02-25,dia4,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),11,9,NIRR|EMB48|unico,NIRR|CD202|unico,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.0
BR16,IRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),1,5,IRR|BR16|unico,IRR|EMB48|unico,False,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
BR16,IRR,2017-02-26,dia5,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),1,0,IRR|BR16|unico,IRR|BR16|manha + tarde,False,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR16,IRR,2017-02-26,dia5,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),1,4,IRR|BR16|unico,IRR|EMB48|manha + tarde,False,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR16,IRR,2017-02-26,dia5,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),1,3,IRR|BR16|unico,IRR|CD202|unico,False,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR16,NIRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,6,NIRR|BR16|unico,NIRR|BR16|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.0
BR16,NIRR,2017-02-26,dia5,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,7,NIRR|BR16|unico,NIRR|BR16|unico,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0
BR16,NIRR,2017-02-26,dia5,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,10,NIRR|BR16|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0
BR16,NIRR,2017-02-26,dia5,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),7,8,NIRR|BR16|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0
CD202,IRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,5,IRR|CD202|unico,IRR|EMB48|unico,False,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-26,dia5,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,1,IRR|CD202|unico,IRR|BR16|unico,False,0.0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-26,dia5,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,5,IRR|CD202|unico,IRR|EMB48|unico,False,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
CD202,IRR,2017-02-26,dia5,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),3,5,IRR|CD202|unico,IRR|EMB48|unico,False,0.0,0.2,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
CD202,NIRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,10,NIRR|CD202|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.2
CD202,NIRR,2017-02-26,dia5,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,9,NIRR|CD202|unico,NIRR|CD202|unico,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2
CD202,NIRR,2017-02-26,dia5,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,10,NIRR|CD202|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4
CD202,NIRR,2017-02-26,dia5,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),9,8,NIRR|CD202|unico,NIRR|CD202|manha + tarde,False,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2
EMB48,IRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,4,IRR|EMB48|unico,IRR|EMB48|manha + tarde,False,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-26,dia5,2,B2,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,5,IRR|EMB48|unico,IRR|EMB48|unico,True,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-26,dia5,3,B3,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,3,IRR|EMB48|unico,IRR|CD202|unico,False,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,IRR,2017-02-26,dia5,4,B4,unico,unico,condicao_genotipo_turno,k-NN (k=5),5,5,IRR|EMB48|unico,IRR|EMB48|unico,True,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
EMB48,NIRR,2017-02-26,dia5,1,B1,unico,unico,condicao_genotipo_turno,k-NN (k=5),11,10,NIRR|EMB48|unico,NIRR|EMB48|manha + tarde,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2
