analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia2_BR16,dia2 - BR16,dia2,BR16,XGBoost,Nao irrigado,0,4
dia2_BR16,dia2 - BR16,dia2,BR16,XGBoost,Irrigado,0,4
