analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia9_CD202,dia9 - CD202,dia9,CD202,k-NN (k=5),Nao irrigado,4,0
dia9_CD202,dia9 - CD202,dia9,CD202,k-NN (k=5),Irrigado,1,3
