analysis_id,analysis_label,dia,cultivar,modelo,classe,classe_codigo,precision,recall,f1,support
dia9_CD202,dia9 - CD202,dia9,CD202,LDA,Nao irrigado,0,1.0,1.0,1.0,4
dia9_CD202,dia9 - CD202,dia9,CD202,LDA,Irrigado,1,1.0,1.0,1.0,4
