target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,experiment_variant,augmentation_method,copies_per_sample,noise_std_fraction,scale_range,offset_std_fraction,clip_to_train_range,analysis_source
condicao_genotipo,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5347222222222222,0.013888888888888895,0.5347222222222222,0.013888888888888841,0.50698049227461,0.028902403162507823,0.44166666666666665,0.016666666666666607,,,augmentation,spectral_jitter,3,0.015,0.02,0.005,True,gen_cond
condicao_genotipo,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5625,0.10485881160098261,0.5625,0.10485881160098265,0.5146880760851349,0.11196631410200258,0.47500000000000003,0.12583057392117913,,,augmentation,spectral_jitter,3,0.015,0.02,0.005,True,gen_cond
condicao_genotipo,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5486111111111112,0.0917788314888843,0.5486111111111112,0.09177883148888431,0.5020441568235686,0.09599941503604063,0.45833333333333326,0.11013459778666115,,,augmentation,spectral_jitter,3,0.015,0.02,0.005,True,gen_cond
condicao_genotipo,k-NN (k=5),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.4861111111111111,0.048112522432468836,0.4861111111111111,0.04811252243246878,0.46502120564620564,0.05299642065896994,0.38333333333333336,0.05773502691896265,,,augmentation,spectral_jitter,3,0.015,0.02,0.005,True,gen_cond
condicao_genotipo,XGBoost,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,144,24,4,5,band_400|band_530|band_550|band_401|band_720,0.5347222222222222,0.09453971229936173,0.5347222222222222,0.09453971229936173,0.5087326509346634,0.10193310858230402,0.44166666666666665,0.11344765475923412,,,augmentation,spectral_jitter,3,0.015,0.02,0.005,True,gen_cond
