wavelength,PC1,PC2,PC3,PC4,PC5
350,-0.014487482609830854,0.028894230658588618,0.02643991509186074,-0.04402960795569499,0.041974898387125224
351,-0.014605548141851589,0.02894596143091283,0.02622125711617389,-0.044735646287572914,0.0434843290188376
352,-0.015294316532017547,0.027852842928721745,0.027227439368632134,-0.04498820982603492,0.0303695674420012
353,-0.015400466698873079,0.027677699453691643,0.027125180718163357,-0.04286088341799586,0.03664768523502271
354,-0.015464796345790711,0.028793285582163004,0.027485691698004827,-0.043000440323144505,0.041516515590557586
355,-0.015529749516697371,0.028941430052005092,0.026961770095174625,-0.04314818575649256,0.04154943648830122
356,-0.015988326384434322,0.027967551701274143,0.02606087554339904,-0.04289081872087396,0.039736047073902075
357,-0.01590899088309985,0.028283432280382638,0.027544741416242986,-0.043579050800141496,0.0412613941128461
358,-0.015898086623519825,0.028169072439340543,0.027849429468745975,-0.04587235271817518,0.04564555740575788
359,-0.016082163858945054,0.027352807495891376,0.027117119943753754,-0.047024578842528975,0.047291734416990826
360,-0.01652912246353957,0.026894931709840714,0.02703780864728899,-0.04533956527174552,0.04304811284335459
361,-0.01616631926538504,0.029114533075812785,0.026104881049797562,-0.04532062303954966,0.04282108325410608
362,-0.016095489940538717,0.029259338907344834,0.026407537249763254,-0.046228059067505274,0.04288722907736171
363,-0.01631555674003533,0.027849244116896005,0.027566016033348347,-0.04728573710630906,0.04208645302427896
364,-0.015998266220321095,0.028805203789593444,0.027427747013908405,-0.047583826480252056,0.04150537335709003
365,-0.01603291497948854,0.02918830758197124,0.02713989362290738,-0.046407628767174795,0.04391411250985676
366,-0.01618752944849105,0.029138018515609296,0.027272266385144687,-0.04589398783046228,0.0423844782073104
367,-0.01619087879836169,0.028909027403797583,0.027840012162401694,-0.04678920811256345,0.03547795941410189
368,-0.016181487904913656,0.028679204974802433,0.028628317328970407,-0.04793990705378862,0.031362659395877526
369,-0.0161605058571425,0.029234920047212953,0.028194932902247605,-0.0477229493550062,0.03346018057275699
370,-0.016184192918525603,0.029566075339494912,0.02735944904218071,-0.04707516667031785,0.03636437035392063
371,-0.016341268780691084,0.029114360985793005,0.02725458270593285,-0.047367208452528856,0.03603533781676046
