component,explained_variance_ratio,cumulative_explained_variance
PC1,0.7231275852620948,0.7231275852620948
PC2,0.16127743798732594,0.8844050232494207
PC3,0.07703873470294469,0.9614437579523654
PC4,0.02413629697882885,0.9855800549311942
PC5,0.003875140540468795,0.9894551954716629
