target,model,classe,classe_codigo,precision,recall,f1,support
condicao,SVM (RBF),NIRR,0,0.9078947368421053,0.9583333333333334,0.9324324324324325,72
condicao,SVM (RBF),IRR,1,0.9558823529411765,0.9027777777777778,0.9285714285714286,72
