wavelength_nm,p_value,q_FDR_BH
400.0,6.5804470831289255e-06,7.339041309134e-06
401.0,1.4348965640499256e-05,1.576311115622066e-05
402.0,2.491994351180683e-05,2.712887693350096e-05
403.0,3.518848237595302e-05,3.7985040712147185e-05
404.0,5.4165036357603615e-05,5.804205306658569e-05
405.0,6.998206979617093e-05,7.471797248930067e-05
406.0,9.905624867150176e-05,0.0001047779092445849
407.0,9.384295804191814e-05,9.946868575915973e-05
408.0,8.319580152094909e-05,8.85034174893499e-05
409.0,6.381070829037103e-05,6.827113338735053e-05
410.0,5.921117307267804e-05,6.341624854937999e-05
411.0,5.2383127965023055e-05,5.6191315615199934e-05
412.0,5.144199688977982e-05,5.523954744551749e-05
413.0,7.016218547196607e-05,7.48713019786693e-05
414.0,9.000163843500498e-05,9.554521761397268e-05
415.0,0.00010881843210846476,0.00011474889678892607
416.0,0.00010543629151726634,0.00011129687797319263
417.0,9.528122801679952e-05,0.00010094101170581395
418.0,8.073983735826998e-05,8.597996179741004e-05
419.0,8.631974126122914e-05,9.173149706050828e-05
420.0,8.613997943320247e-05,9.158792007127956e-05
421.0,9.376132163165272e-05,9.943354222674237e-05
422.0,9.990946276043774e-05,0.00010557151371543421
423.0,0.00011334178990906785,0.00011933470795867463
424.0,0.00011817688818247557,0.0001242978449550038
425.0,0.00015832748108369148,0.0001651727689230169
426.0,0.00015699206534923506,0.0001638629649014153
427.0,0.00013488987489388866,0.00014144127474814195
428.0,0.00015010333981441173,0.00015691230884778718
429.0,0.00015099307322503537,0.00015776199347149647
430.0,0.00014172218797368742,0.00014845362999695244
431.0,0.0001459289784530712,0.00015270425245267807
432.0,0.00013465937673355958,0.00014127180648620494
433.0,0.00016433990019670567,0.000171270902085083
434.0,0.0002016430105559573,0.00020876820527524907
435.0,0.0002637169714258908,0.00027180075798718695
436.0,0.0003160897726555197,0.0003241500618582355
437.0,0.0003534900436746621,0.0003607498184934547
438.0,0.0003707544210051994,0.00037794101266484293
439.0,0.00035027095211472595,0.000357950036266718
440.0,0.00032920898279764806,0.00033692995195507794
441.0,0.0003123692795114665,0.0003206553514904994
442.0,0.0002874406334308741,0.00029580568949659947
443.0,0.0003089003880685387,0.0003172532278059954
444.0,0.0003003174918394955,0.0003088708976894593
445.0,0.00031595545281323746,0.0003241500618582355
446.0,0.0003437916957903066,0.0003515038724157123
447.0,0.0003274711927126814,0.0003354862219049498
448.0,0.00032793215576732885,0.0003357907396299508
449.0,0.0003308019667862361,0.0003383914383434266
450.0,0.00035353833991801266,0.0003607498184934547
451.0,0.00036368457888625585,0.00037091848398593274
452.0,0.00037496345322169766,0.0003820417499044719
453.0,0.00041657629130170996,0.00042359840032712303
454.0,0.000434281278514137,0.00044138300407953174
455.0,0.00046870359002715214,0.00047589656591370745
456.0,0.00048630797844566824,0.0004932827219545329
457.0,0.0005374066622325083,0.0005443066983895677
458.0,0.0005740729911492561,0.0005800116772645932
459.0,0.0005647040143015306,0.0005713901989799898
460.0,0.000569127283284545,0.0005752982050352892
461.0,0.0005655904882124825,0.0005720049759979298
462.0,0.0005745263121752352,0.000580183882949979
463.0,0.0005957706667583076,0.0006007500676112531
464.0,0.0006077364085245822,0.0006113130818459628
465.0,0.0005957706667583076,0.0006007500676112531
466.0,0.0005987261991388285,0.0006031372467749202
467.0,0.000602549465826361,0.0006063930100146548
468.0,0.000636148629721143,0.0006392654774904774
469.0,0.0007458812303510235,0.0007473387413043231
470.0,0.0007721479360517544,0.0007729016187614194
471.0,0.0008284524956198736,0.0008284524956198736
472.0,0.0008159717786905538,0.0008163698137045492
473.0,0.0007648298641777197,0.0007659502204240738
474.0,0.0007228597216338103,0.0007246262409926418
475.0,0.0006851590359381632,0.000687169282498373
476.0,0.0006617275955246655,0.0006646441226352051
477.0,0.0006726960744706453,0.0006749998281503393
478.0,0.0006683600767855362,0.0006709772479134286
479.0,0.0006242485765878837,0.0006276146228341909
480.0,0.0005957706667583076,0.0006007500676112531
481.0,0.0005987261991388285,0.0006031372467749202
482.0,0.000601924776511013,0.0006060617165557623
483.0,0.0005626163019671718,0.0005695587538670629
484.0,0.0005210991055582066,0.0005280505264327479
485.0,0.0004900874207924517,0.0004968706376892331
486.0,0.00047688503942056097,0.00048396398607202895
487.0,0.00044677189538360856,0.0004538529754491239
488.0,0.0003996537712408858,0.0004065922047693734
489.0,0.00039174929372618757,0.0003987482885520648
490.0,0.0003753506983878171,0.00038224641628272735
491.0,0.0003507320635687995,0.0003582427601492071
492.0,0.00030362853948799027,0.00031199505735965335
493.0,0.0002579157777320484,0.0002659553846799554
494.0,0.00019845757013365242,0.00020557397795157632
495.0,0.00017942851278039435,0.00018642749732147355
496.0,0.00015156870415035942,0.00015828279644215234
497.0,0.00010983795526654779,0.00011576446364423921
498.0,7.936189089587693e-05,8.455648739087978e-05
499.0,5.211953468634974e-05,5.5937815615752654e-05
500.0,3.1786123483266395e-05,3.442098166007359e-05
501.0,1.752192929165294e-05,1.918712064985594e-05
502.0,8.174139590969116e-06,9.062248811393329e-06
503.0,3.8278674163246734e-06,4.308976987311693e-06
504.0,1.491169500554229e-06,1.7406879030374068e-06
505.0,5.635636306811062e-07,7.409416708506082e-07
506.0,2.2695836942354022e-07,3.237076604225876e-07
507.0,6.507798443935646e-08,1.2797214389752645e-07
508.0,2.4444687157836488e-08,5.432792996181088e-08
509.0,7.744309815775713e-09,2.1818103615598883e-08
510.0,2.0664898651702384e-09,6.982488819545566e-09
511.0,4.646232922379639e-10,2.127361836283126e-09
