target,model,classes,n_classes,n_samples,n_groups,cv_splits,inner_splits,n_bandas,bandas,n_param_candidates,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,top_n_requested,n_features_after_pruning,variant,augmentation_method,correlation_threshold,analysis_source
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.3194444444444444,0.01603750747748958,0.3194444444444444,0.016037507477489596,0.30317911255411256,0.015514992942168541,0.25757575757575757,0.017495462702715917,,,8,8,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.3472222222222222,0.08333333333333331,0.3472222222222222,0.08333333333333333,0.31749488936988934,0.08270164936441754,0.2878787878787879,0.09090909090909088,,,8,8,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.3611111111111111,0.07172191381865585,0.36111111111111105,0.07172191381865586,0.31799392736892734,0.0721509294907576,0.30303030303030304,0.07824208780217003,,,8,8,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.3819444444444444,0.0917788314888843,0.3819444444444444,0.09177883148888429,0.35171957671957677,0.09659508706534257,0.3257575757575758,0.10012236162423743,,,8,8,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.39583333333333337,0.06944444444444442,0.39583333333333326,0.06944444444444442,0.3729001322751323,0.07154434847083281,0.34090909090909094,0.07575757575757573,,,8,8,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.3611111111111111,0.022680460581325734,0.3611111111111111,0.022680460581325734,0.32426046176046175,0.045752733294576804,0.303030303030303,0.024742320634173542,,,10,6,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.4305555555555556,0.09487917375888516,0.4305555555555556,0.09487917375888519,0.3812890812890813,0.10065371363237745,0.3787878787878788,0.1035045531915111,,,10,6,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.3888888888888889,0.05071505162084872,0.3888888888888889,0.050715051620848696,0.34497354497354493,0.05098970444518807,0.3333333333333333,0.055325510859107696,,,10,6,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.4027777777777778,0.016037507477489613,0.40277777777777773,0.016037507477489547,0.3770998677248677,0.034983266436651075,0.3484848484848485,0.017495462702715917,,,10,6,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,6,band_400|band_530|band_720|band_730|band_1349|band_1522,4,0.33333333333333337,0.0507150516208487,0.33333333333333337,0.05071505162084872,0.30209986772486774,0.04277276757396652,0.2727272727272727,0.055325510859107675,,,10,6,mixup,mixup,0.95,gen_cond
