target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao_genotipo_turno,5,5,mixup,XGBoost,3,0.35282587782587777,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,5,5,mixup,XGBoost,4,0.33710317460317457,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,8,8,jitter,Random Forest,1,0.2777597402597402,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,jitter,Random Forest,2,0.33555996472663135,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,jitter,Random Forest,3,0.3632315215648549,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,jitter,Random Forest,4,0.38494268077601407,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,jitter,SVM (RBF),1,0.27517636684303354,"{""model__C"": 1.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,8,8,jitter,SVM (RBF),2,0.3505511463844797,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,8,8,jitter,SVM (RBF),3,0.3517255892255892,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,8,8,jitter,SVM (RBF),4,0.3302910052910053,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,8,8,jitter,LDA,1,0.31514951098284427,"{""model__shrinkage"": 0.05}",108,432,36
condicao_genotipo_turno,8,8,jitter,LDA,2,0.3807692307692308,"{""model__shrinkage"": 0.05}",108,432,36
condicao_genotipo_turno,8,8,jitter,LDA,3,0.36298500881834217,"{""model__shrinkage"": ""auto""}",108,432,36
condicao_genotipo_turno,8,8,jitter,LDA,4,0.4074314574314574,"{""model__shrinkage"": ""auto""}",108,432,36
condicao_genotipo_turno,8,8,jitter,XGBoost,1,0.26201499118165783,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,8,8,jitter,XGBoost,2,0.3285273368606702,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,8,8,jitter,XGBoost,3,0.301058201058201,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,8,8,jitter,XGBoost,4,0.38236331569664905,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,8,8,mixup,Random Forest,1,0.3065917107583774,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,mixup,Random Forest,2,0.35793650793650794,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,mixup,Random Forest,3,0.37916666666666665,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,mixup,Random Forest,4,0.2957892416225749,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,8,8,mixup,SVM (RBF),1,0.30916691333358004,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,8,8,mixup,SVM (RBF),2,0.37312610229276894,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,8,8,mixup,SVM (RBF),3,0.384700176366843,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,8,8,mixup,SVM (RBF),4,0.3383036716370049,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,8,8,mixup,LDA,1,0.28447971781305115,"{""model__shrinkage"": 0.1}",108,432,36
condicao_genotipo_turno,8,8,mixup,LDA,2,0.4012345679012346,"{""model__shrinkage"": 0.1}",108,432,36
condicao_genotipo_turno,8,8,mixup,LDA,3,0.3392636684303351,"{""model__shrinkage"": ""auto""}",108,432,36
condicao_genotipo_turno,8,8,mixup,LDA,4,0.38097442680776017,"{""model__shrinkage"": 0.2}",108,432,36
condicao_genotipo_turno,8,8,mixup,XGBoost,1,0.30136684303350975,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,432,36
