number,objective,datetime_start,datetime_complete,duration,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
5,0.9593726083226084,2026-05-21 16:38:45.885250,2026-05-21 16:38:53.182569,0 days 00:00:07.297319,balanced_subsample,6,sqrt,1,17,950,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
3,0.9593726083226084,2026-05-21 16:38:31.304133,2026-05-21 16:38:38.037974,0 days 00:00:06.733841,balanced_subsample,6,sqrt,1,11,850,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
18,0.9593726083226084,2026-05-21 16:40:06.860950,2026-05-21 16:40:12.972201,0 days 00:00:06.111251,balanced_subsample,23,0.5,1,7,500,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
44,0.9593726083226084,2026-05-21 16:43:02.267155,2026-05-21 16:43:07.234231,0 days 00:00:04.967076,balanced,14,log2,1,15,850,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
45,0.9593726083226084,2026-05-21 16:43:07.234504,2026-05-21 16:43:13.920230,0 days 00:00:06.685726,balanced,26,0.5,1,6,1200,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
48,0.9593726083226084,2026-05-21 16:43:24.528081,2026-05-21 16:43:30.401914,0 days 00:00:05.873833,,8,log2,1,12,1050,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
51,0.9593726083226084,2026-05-21 16:43:38.335087,2026-05-21 16:43:42.978991,0 days 00:00:04.643904,balanced_subsample,27,0.5,1,7,600,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
38,0.9593726083226084,2026-05-21 16:42:24.062282,2026-05-21 16:42:28.824562,0 days 00:00:04.762280,,12,log2,1,13,850,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
40,0.9593726083226084,2026-05-21 16:42:38.694847,2026-05-21 16:42:42.962883,0 days 00:00:04.268036,balanced_subsample,25,0.5,1,4,550,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
27,0.9593726083226084,2026-05-21 16:41:15.494719,2026-05-21 16:41:23.177743,0 days 00:00:07.683024,balanced,21,0.5,1,5,1350,0.9583333333333333,0.9583226083226084,0.9166666666666666,COMPLETE,0.9583333333333333,0.9583226083226084,0.9166666666666666
