Classe,Precisao,Recall,F1-score,Suporte
A (EMB48 IRR),0.6296296296296297,0.7083333333333334,0.6666666666666666,24
B (EMB48 NIRR),0.6956521739130435,0.6666666666666666,0.6808510638297872,24
C (BR16 IRR),0.6521739130434783,0.625,0.6382978723404256,24
D (BR16 NIRR),0.72,0.75,0.7346938775510204,24
E (CD202 IRR),0.6875,0.4583333333333333,0.55,24
F (CD202 NIRR),0.5,0.625,0.5555555555555556,24
