number,objective,datetime_start,datetime_complete,duration,params_knn_n_neighbors,params_knn_p,params_knn_weights,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,params_model,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_svm_c,params_svm_gamma,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,user_attrs_model,state
71,0.628106107966108,2026-04-24 15:21:30.435717,2026-04-24 15:21:30.494822,0 days 00:00:00.059105,,,,0.0073868820412159595,float,eigen,LDA,,,,,,,,,0.6388888888888888,0.6274105524105524,0.5666666666666667,LDA,COMPLETE
53,0.628106107966108,2026-04-24 15:21:21.824509,2026-04-24 15:21:21.874895,0 days 00:00:00.050386,,,,0.008407038530137188,float,eigen,LDA,,,,,,,,,0.6388888888888888,0.6274105524105524,0.5666666666666667,LDA,COMPLETE
61,0.628106107966108,2026-04-24 15:21:26.331598,2026-04-24 15:21:26.385585,0 days 00:00:00.053987,,,,0.007421963720072066,float,eigen,LDA,,,,,,,,,0.6388888888888888,0.6274105524105524,0.5666666666666667,LDA,COMPLETE
12,0.6214605235505236,2026-04-24 15:21:05.391679,2026-04-24 15:21:05.457792,0 days 00:00:00.066113,,,,0.006834350387455622,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
31,0.6214605235505236,2026-04-24 15:21:17.965656,2026-04-24 15:21:18.018660,0 days 00:00:00.053004,,,,0.006886953880570399,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
44,0.6214605235505236,2026-04-24 15:21:18.671484,2026-04-24 15:21:18.721433,0 days 00:00:00.049949,,,,0.006052397638387141,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
43,0.6214605235505236,2026-04-24 15:21:18.620524,2026-04-24 15:21:18.671235,0 days 00:00:00.050711,,,,0.006027659963929886,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
51,0.6214605235505236,2026-04-24 15:21:21.715828,2026-04-24 15:21:21.767453,0 days 00:00:00.051625,,,,0.0070435876206492425,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
42,0.6214605235505236,2026-04-24 15:21:18.563690,2026-04-24 15:21:18.620296,0 days 00:00:00.056606,,,,0.0070888142887157385,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
63,0.6214605235505236,2026-04-24 15:21:26.444412,2026-04-24 15:21:26.499218,0 days 00:00:00.054806,,,,0.0067716270510745176,float,eigen,LDA,,,,,,,,,0.6319444444444444,0.6207727457727458,0.5583333333333333,LDA,COMPLETE
