Classe verdadeira,A (EMB48 IRR),B (EMB48 NIRR),C (BR16 IRR),D (BR16 NIRR),E (CD202 IRR),F (CD202 NIRR)
A (EMB48 IRR),17,0,3,0,2,2
B (EMB48 NIRR),0,16,0,0,0,8
C (BR16 IRR),4,0,15,4,1,0
D (BR16 NIRR),0,0,1,18,0,5
E (CD202 IRR),6,2,4,1,11,0
F (CD202 NIRR),0,5,0,2,2,15
