rank,wavelength_nm,resolved_wavelength_nm,band_column,resolved_exact_match,q_FDR_BH
1,706,706,band_706,True,2.09162636924178e-14
2,1730,1730,band_1730,True,2.993617599990181e-13
3,980,980,band_980,True,7.622351894322498e-12
4,553,553,band_553,True,3.0393489492719197e-10
5,1386,1349,band_1349,False,3.3100012550640006e-10
