number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
53,0.4257968614718615,2026-05-21 17:05:21.988841,2026-05-21 17:05:22.038453,0 days 00:00:00.049612,0.00023906781835116866,float,lsqr,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
112,0.4257968614718615,2026-05-21 17:05:24.978061,2026-05-21 17:05:25.028122,0 days 00:00:00.050061,0.00023042226798254198,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
114,0.4257968614718615,2026-05-21 17:05:25.079267,2026-05-21 17:05:25.129980,0 days 00:00:00.050713,0.0002144094475291617,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
100,0.4257968614718615,2026-05-21 17:05:24.354978,2026-05-21 17:05:24.404934,0 days 00:00:00.049956,0.0002311222589216003,float,lsqr,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
99,0.4257968614718615,2026-05-21 17:05:24.302480,2026-05-21 17:05:24.354756,0 days 00:00:00.052276,0.00021313288095835278,float,lsqr,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
104,0.4257968614718615,2026-05-21 17:05:24.554785,2026-05-21 17:05:24.604431,0 days 00:00:00.049646,0.00023598329243922596,float,lsqr,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
121,0.4257968614718615,2026-05-21 17:05:25.436138,2026-05-21 17:05:25.487553,0 days 00:00:00.051415,0.00020661539340517711,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
118,0.4257968614718615,2026-05-21 17:05:25.283176,2026-05-21 17:05:25.333611,0 days 00:00:00.050435,0.00021782704483716558,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
137,0.4257968614718615,2026-05-21 17:05:26.263200,2026-05-21 17:05:26.314537,0 days 00:00:00.051337,0.00023197912738343924,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
125,0.4257968614718615,2026-05-21 17:05:25.642605,2026-05-21 17:05:25.694145,0 days 00:00:00.051540,0.0002394369281576985,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
192,0.4257968614718615,2026-05-21 17:05:29.147504,2026-05-21 17:05:29.199073,0 days 00:00:00.051569,0.0002190372582423861,float,eigen,0.45833333333333337,0.4252976190476191,0.40909090909090906,COMPLETE,0.45833333333333337,0.4252976190476191,0.40909090909090906
