subset_family,subset_name,subset_label,dates,shift,genotype,n_samples,irrigated_count,non_irrigated_count,best_components,rmsecv,auc,rank,wavelength,direction_label,vip,coefficient,optimal_score,pearson_r,pearson_p_value,welch_p_value,pearson_p_lt_0_005,welch_p_lt_0_005
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,4,2237,irrigado,1.6009368328,0.0138047049,7.6919683090,0.1615881129,1.4878245495e-03,1.4888722318e-03,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,5,2280,nao_irrigado,1.5432108820,-0.0146309850,7.6866398505,-0.7048646590,6.1405234490e-59,2.1206532914e-58,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,6,1813,nao_irrigado,1.5094125697,-0.0138055099,7.1744885700,0.3415646209,6.0089735823e-12,6.0975296671e-12,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,7,2277,nao_irrigado,1.5116761096,-0.0136937203,7.1438313233,-0.6387975699,2.0339796372e-45,2.0892091608e-45,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,8,2282,nao_irrigado,1.4604265807,-0.0141029177,7.0129836929,-0.7174130713,6.0942463704e-62,3.4914370021e-60,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,9,1812,nao_irrigado,1.4755880929,-0.0138454662,6.9986634924,0.3547581306,7.8661862583e-13,7.9628889505e-13,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,10,1814,nao_irrigado,1.5010369986,-0.0129425689,6.7915983252,0.3255592456,6.2435224218e-11,6.3177126225e-11,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,11,2236,irrigado,1.5934586715,0.0110022367,6.5600792968,0.2154185130,2.0658480623e-05,2.0702929819e-05,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,12,391,nao_irrigado,1.2781045197,-0.0153911157,6.4823513747,-0.5913321351,1.3957140826e-37,6.7537483310e-36,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,13,390,nao_irrigado,1.2525532420,-0.0142139220,5.8801112499,-0.5794296332,8.1687092031e-36,4.1594216982e-34,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,14,2276,nao_irrigado,1.4499802739,-0.0111074956,5.7892833162,-0.6128456956,5.7214043032e-41,5.7291281024e-41,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,15,1815,nao_irrigado,1.4414620078,-0.0108123172,5.6263282859,0.3079160769,7.0643459710e-10,7.1207018729e-10,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,16,1811,nao_irrigado,1.3849707082,-0.0113921090,5.5321516988,0.3633526412,1.9861766261e-13,1.9955746391e-13,1,1
data,2017-02-24,Data 24/02/2017,2017-02-24,,,384,192,192,13,0.1689910876,0.9999457465,17,2283,nao_irrigado,1.3190646701,-0.0123254146,5.5221557457,-0.6717112950,1.0250972962e-51,1.0665564758e-50,1,1
