wavelength,coefficient,abs_coefficient,vip,direction
823,0.0019902040,0.0019902040,1.0783384748,irrigado
837,-0.0028910456,0.0028910456,1.0782814210,nao_irrigado
850,-0.0027297760,0.0027297760,1.0780836980,nao_irrigado
2066,0.0105716533,0.0105716533,1.0780509773,irrigado
821,0.0020116577,0.0020116577,1.0778482704,irrigado
1517,-0.0059255719,0.0059255719,1.0776483945,nao_irrigado
1468,0.0009570413,0.0009570413,1.0776151701,irrigado
2223,-0.0075916480,0.0075916480,1.0774838969,nao_irrigado
2202,0.0019208582,0.0019208582,1.0774342763,irrigado
382,-0.0121604153,0.0121604153,1.0774127160,nao_irrigado
1902,0.0030609345,0.0030609345,1.0770383309,irrigado
2203,-0.0028552833,0.0028552833,1.0767571507,nao_irrigado
853,-0.0007670923,0.0007670923,1.0766981271,nao_irrigado
1551,-0.0026285325,0.0026285325,1.0764703944,nao_irrigado
1521,-0.0060802334,0.0060802334,1.0764353929,nao_irrigado
1545,-0.0028491762,0.0028491762,1.0761410629,nao_irrigado
1931,-0.0007998020,0.0007998020,1.0760429839,nao_irrigado
384,-0.0023373278,0.0023373278,1.0759105283,nao_irrigado
396,-0.0061164394,0.0061164394,1.0757764446,nao_irrigado
822,0.0012851460,0.0012851460,1.0757002888,irrigado
1609,0.0017534118,0.0017534118,1.0751094402,irrigado
2208,-0.0026307381,0.0026307381,1.0749557194,nao_irrigado
1812,-0.0000938888,0.0000938888,1.0747947569,nao_irrigado
1717,-0.0043765133,0.0043765133,1.0744169752,nao_irrigado
2108,0.0092557854,0.0092557854,1.0740548471,irrigado
1469,0.0004673397,0.0004673397,1.0739439603,irrigado
2087,0.0082265389,0.0082265389,1.0739406048,irrigado
712,0.0095065868,0.0095065868,1.0738856921,irrigado
1397,0.0052808069,0.0052808069,1.0738307736,irrigado
2228,-0.0023717988,0.0023717988,1.0737256062,nao_irrigado
1901,0.0030612518,0.0030612518,1.0736799209,irrigado
1836,0.0013391528,0.0013391528,1.0734533620,irrigado
1470,-0.0007357193,0.0007357193,1.0728526745,nao_irrigado
1728,-0.0130193200,0.0130193200,1.0728320293,nao_irrigado
2193,-0.0079859169,0.0079859169,1.0727965866,nao_irrigado
1544,-0.0023215128,0.0023215128,1.0723242001,nao_irrigado
1516,-0.0044673364,0.0044673364,1.0723186236,nao_irrigado
945,0.0123053354,0.0123053354,1.0719459592,irrigado
1522,-0.0055394110,0.0055394110,1.0718376007,nao_irrigado
874,0.0039281889,0.0039281889,1.0717309356,irrigado
1735,-0.0070911513,0.0070911513,1.0710425252,nao_irrigado
1552,-0.0014925384,0.0014925384,1.0708872300,nao_irrigado
1900,0.0028855941,0.0028855941,1.0708103578,irrigado
836,-0.0035316708,0.0035316708,1.0701525566,nao_irrigado
1471,-0.0014218589,0.0014218589,1.0701443456,nao_irrigado
1543,-0.0019576356,0.0019576356,1.0692786399,nao_irrigado
2065,0.0092754917,0.0092754917,1.0692719426,irrigado
869,-0.0082599062,0.0082599062,1.0691098521,nao_irrigado
1523,-0.0053710173,0.0053710173,1.0690799294,nao_irrigado
870,-0.0083222649,0.0083222649,1.0687190143,nao_irrigado
854,-0.0022952134,0.0022952134,1.0686191851,nao_irrigado
1837,0.0012274657,0.0012274657,1.0686161555,irrigado
1899,0.0026480747,0.0026480747,1.0684487786,irrigado
1524,-0.0055229184,0.0055229184,1.0680872063,nao_irrigado
1608,0.0006839058,0.0006839058,1.0679405750,irrigado
1553,-0.0008820757,0.0008820757,1.0675679063,nao_irrigado
951,-0.0143201406,0.0143201406,1.0674959022,nao_irrigado
662,-0.0047220650,0.0047220650,1.0674060767,nao_irrigado
1472,-0.0014608839,0.0014608839,1.0673519680,nao_irrigado
1515,-0.0030925727,0.0030925727,1.0669796398,nao_irrigado
2198,0.0049795861,0.0049795861,1.0669478218,irrigado
1542,-0.0017903062,0.0017903062,1.0666460809,nao_irrigado
2333,0.0063853153,0.0063853153,1.0666088858,irrigado
397,-0.0030956887,0.0030956887,1.0665727995,nao_irrigado
1898,0.0023381171,0.0023381171,1.0665181368,irrigado
1607,0.0009339769,0.0009339769,1.0663154536,irrigado
2088,0.0071883151,0.0071883151,1.0660813734,irrigado
2212,0.0071757229,0.0071757229,1.0658690259,irrigado
1554,-0.0013097559,0.0013097559,1.0658446307,nao_irrigado
1536,-0.0027594877,0.0027594877,1.0657988154,nao_irrigado
1473,-0.0018627808,0.0018627808,1.0656428864,nao_irrigado
1537,-0.0026726121,0.0026726121,1.0654287048,nao_irrigado
1396,0.0050897226,0.0050897226,1.0651649046,irrigado
1897,0.0019348229,0.0019348229,1.0649894527,irrigado
828,0.0017870142,0.0017870142,1.0648804667,irrigado
1535,-0.0020184910,0.0020184910,1.0646177654,nao_irrigado
