sample_name,data_coleta,genotipo,condicao,PC1,PC2
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0469513713,0.0036092924
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0464406289,0.0026898442
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0461694114,0.0045469740
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0454780802,0.0061103224
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,-0.0530894480,0.0207455231
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,-0.0539342848,0.0131401438
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,-0.0530740206,0.0175602781
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,-0.0530995473,0.0165721902
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,-0.0275953524,-0.0042730882
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,-0.0274144527,0.0060805059
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,-0.0278622999,-0.0002627164
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,-0.0281504223,0.0005647658
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,-0.0008476973,0.0061807901
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,-0.0012830923,0.0058917971
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,-0.0003029793,0.0253049048
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,-0.0006491869,0.0151308298
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,-0.0288982778,-0.0005458859
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,-0.0284407235,0.0001583616
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,-0.0279234484,-0.0001335586
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,-0.0271497441,0.0097715848
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,-0.0130800979,0.0178701106
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,-0.0130539418,0.0135997871
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,-0.0114661585,0.0191936060
B2_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,-0.0111635611,0.0139453482
B2_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,-0.0056203234,-0.0027791578
B2_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,-0.0063031558,-0.0086816375
B2_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,-0.0059529444,-0.0135181086
B2_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,-0.0064344498,-0.0192552265
B2_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,0.0177983116,-0.0186756447
B2_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,0.0186262177,-0.0235061680
B2_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,0.0187655501,-0.0246046699
B2_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,0.0198233072,-0.0206248621
B2_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,-0.0274218119,-0.0096089746
B2_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,-0.0272665306,-0.0100294889
B2_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,-0.0269531909,-0.0010461981
B2_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,-0.0273859884,-0.0155713249
B2_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0.0182176281,0.0119596524
B2_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0.0187593911,0.0178427434
B2_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0.0199099864,0.0134867364
B2_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0.0205542181,0.0148538999
B3_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0453979406,0.0020062445
B3_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0454798680,-0.0071149968
B3_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0448683165,-0.0124469333
B3_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0440966986,0.0071025686
B3_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,-0.0417795133,-0.0049087916
B3_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,-0.0423127229,-0.0065041210
B3_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,-0.0424463844,-0.0086365835
B3_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,-0.0421373966,-0.0026805327
B3_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0051934004,-0.0092838788
B3_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0049356493,-0.0157274945
B3_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0042690320,-0.0175346163
B3_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0040644960,-0.0224937913
B3_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0.0037859200,0.0039071373
B3_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0.0046743483,0.0025252328
B3_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0.0055728130,-0.0053586360
B3_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0.0062102574,-0.0119429754
B3_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,0.0284419090,0.0017841600
B3_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,0.0285306616,0.0007025321
B3_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,0.0281574362,-0.0050322197
B3_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,0.0281207349,-0.0039818775
B3_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,0.0443817074,0.0009889170
B3_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,0.0443044975,-0.0059786259
B3_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,0.0445625345,-0.0065126901
B3_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,0.0446207388,-0.0048487108
B3_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0.0146764651,-0.0049700834
B3_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0.0154518936,-0.0062519343
B3_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0.0167353638,0.0025444901
B3_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0.0169377613,-0.0071764347
B3_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,-0.0018479845,-0.0227022787
B3_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,-0.0006921656,-0.0138561155
B3_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0.0005741754,-0.0121657560
B3_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0.0014614325,-0.0147411566
B3_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,-0.0075140587,-0.0155278575
B3_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,-0.0074611467,-0.0145752286
B3_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,-0.0076203415,-0.0180662445
B3_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,-0.0070472541,-0.0062261551
B3_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,-0.0009690518,-0.0098105956
B3_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,-0.0011431194,-0.0216537693
B3_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,-0.0007049686,-0.0204175724
B3_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,-0.0005331221,-0.0164732257
