target,classe,dia,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo,irrigado|CD202,2017-02-25,550,0.1288661877,32
condicao_genotipo,irrigado|CD202,2017-02-25,530,0.1188922746,32
condicao_genotipo,nao_irrigado|CD202,2017-02-25,720,0.3327862744,32
condicao_genotipo,nao_irrigado|CD202,2017-02-25,401,0.0650536864,32
condicao_genotipo,nao_irrigado|CD202,2017-02-25,400,0.0653481757,32
condicao_genotipo,nao_irrigado|CD202,2017-02-25,550,0.1206213041,32
condicao_genotipo,nao_irrigado|CD202,2017-02-25,530,0.1077507349,32
condicao_genotipo,irrigado|EMB48,2017-02-25,720,0.3044416756,32
condicao_genotipo,irrigado|EMB48,2017-02-25,401,0.1081425571,32
condicao_genotipo,irrigado|EMB48,2017-02-25,400,0.1092988461,32
condicao_genotipo,irrigado|EMB48,2017-02-25,550,0.1291468334,32
condicao_genotipo,irrigado|EMB48,2017-02-25,530,0.1191744049,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-25,720,0.3444866311,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-25,401,0.0672420293,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-25,400,0.0679251985,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-25,550,0.1333679184,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-25,530,0.1183401862,32
condicao_genotipo,irrigado|BR16,2017-02-26,720,0.3012194816,32
condicao_genotipo,irrigado|BR16,2017-02-26,401,0.0999108432,32
condicao_genotipo,irrigado|BR16,2017-02-26,400,0.1009663367,32
condicao_genotipo,irrigado|BR16,2017-02-26,550,0.116682136,32
condicao_genotipo,irrigado|BR16,2017-02-26,530,0.1079379432,32
condicao_genotipo,nao_irrigado|BR16,2017-02-26,720,0.3412535479,32
condicao_genotipo,nao_irrigado|BR16,2017-02-26,401,0.0630979651,32
condicao_genotipo,nao_irrigado|BR16,2017-02-26,400,0.0633626075,32
condicao_genotipo,nao_irrigado|BR16,2017-02-26,550,0.112847912,32
condicao_genotipo,nao_irrigado|BR16,2017-02-26,530,0.1011699149,32
condicao_genotipo,irrigado|CD202,2017-02-26,720,0.3067378377,32
condicao_genotipo,irrigado|CD202,2017-02-26,401,0.1070387241,32
condicao_genotipo,irrigado|CD202,2017-02-26,400,0.1080955631,32
condicao_genotipo,irrigado|CD202,2017-02-26,550,0.1298869596,32
condicao_genotipo,irrigado|CD202,2017-02-26,530,0.1208030889,32
condicao_genotipo,nao_irrigado|CD202,2017-02-26,720,0.3490093258,32
condicao_genotipo,nao_irrigado|CD202,2017-02-26,401,0.0670577081,32
condicao_genotipo,nao_irrigado|CD202,2017-02-26,400,0.067951957,32
condicao_genotipo,nao_irrigado|CD202,2017-02-26,550,0.1286687898,32
condicao_genotipo,nao_irrigado|CD202,2017-02-26,530,0.1148515072,32
condicao_genotipo,irrigado|EMB48,2017-02-26,720,0.3026106632,32
condicao_genotipo,irrigado|EMB48,2017-02-26,401,0.1026192786,32
condicao_genotipo,irrigado|EMB48,2017-02-26,400,0.1032008243,32
condicao_genotipo,irrigado|EMB48,2017-02-26,550,0.1268910016,32
condicao_genotipo,irrigado|EMB48,2017-02-26,530,0.116778647,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-26,720,0.3596555293,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-26,401,0.0645516988,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-26,400,0.0652012547,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-26,550,0.1381755574,32
condicao_genotipo,nao_irrigado|EMB48,2017-02-26,530,0.1229423823,32
condicao_genotipo,irrigado|BR16,2017-02-27,720,0.2853376893,32
condicao_genotipo,irrigado|BR16,2017-02-27,401,0.1058730027,32
condicao_genotipo,irrigado|BR16,2017-02-27,400,0.1060031482,32
condicao_genotipo,irrigado|BR16,2017-02-27,550,0.1163103222,32
condicao_genotipo,irrigado|BR16,2017-02-27,530,0.1081432404,32
condicao_genotipo,nao_irrigado|BR16,2017-02-27,720,0.3347251621,32
condicao_genotipo,nao_irrigado|BR16,2017-02-27,401,0.0631228473,32
condicao_genotipo,nao_irrigado|BR16,2017-02-27,400,0.0631981453,32
condicao_genotipo,nao_irrigado|BR16,2017-02-27,550,0.1090776177,32
condicao_genotipo,nao_irrigado|BR16,2017-02-27,530,0.097454862,32
condicao_genotipo,irrigado|CD202,2017-02-27,720,0.3018841817,32
condicao_genotipo,irrigado|CD202,2017-02-27,401,0.1064539128,32
condicao_genotipo,irrigado|CD202,2017-02-27,400,0.1079289676,32
condicao_genotipo,irrigado|CD202,2017-02-27,550,0.1263425284,32
condicao_genotipo,irrigado|CD202,2017-02-27,530,0.1174616848,32
condicao_genotipo,nao_irrigado|CD202,2017-02-27,720,0.3374819427,32
condicao_genotipo,nao_irrigado|CD202,2017-02-27,401,0.0646082918,32
condicao_genotipo,nao_irrigado|CD202,2017-02-27,400,0.0658237604,32
condicao_genotipo,nao_irrigado|CD202,2017-02-27,550,0.1148374928,32
condicao_genotipo,nao_irrigado|CD202,2017-02-27,530,0.1027465995,32
condicao_genotipo,irrigado|EMB48,2017-02-27,720,0.3053361532,32
