target,classe,dia,tempo,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-23,2017-02-23|TARDE,550,0.1252271353,32
condicao_genotipo_turno,nao_irrigado|CD202|TARDE,2017-02-23,2017-02-23|TARDE,530,0.112095484,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,720,0.3335366073,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,401,0.0708694193,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,400,0.0713961769,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,550,0.1200483554,32
condicao_genotipo_turno,irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,530,0.1067822256,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,720,0.3706385827,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,401,0.071874959,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,400,0.0723556783,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,550,0.1448206037,32
condicao_genotipo_turno,nao_irrigado|EMB48|TARDE,2017-02-23,2017-02-23|TARDE,530,0.1300143074,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,720,0.300181387,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,401,0.0835930376,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0844383572,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,550,0.1053312805,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,530,0.0961836857,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,720,0.3369622819,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,401,0.0657672026,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,400,0.0666947561,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-24,2017-02-24|MANHA,550,0.1099385057,32
