target,model,classe,classe_codigo,precision,recall,f1,support
gen,Random Forest,BR16,0,0.75,0.75,0.75,8
gen,Random Forest,CD202,1,0.6666666666666666,0.75,0.7058823529411765,8
gen,Random Forest,EMB48,2,0.5714285714285714,0.5,0.5333333333333333,8
