analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia2_EMB48,dia2 - EMB48,dia2,EMB48,LDA,Nao irrigado,2,2
dia2_EMB48,dia2 - EMB48,dia2,EMB48,LDA,Irrigado,1,3
