analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia2_EMB48,dia2 - EMB48,dia2,EMB48,k-NN (k=5),Nao irrigado,3,1
dia2_EMB48,dia2 - EMB48,dia2,EMB48,k-NN (k=5),Irrigado,0,4
