analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia2_EMB48,dia2 - EMB48,dia2,EMB48,Random Forest,Nao irrigado,3,1
dia2_EMB48,dia2 - EMB48,dia2,EMB48,Random Forest,Irrigado,0,4
