target,model,classe,classe_codigo,precision,recall,f1,support
gen,XGBoost,BR16,0,0.7142857142857143,0.625,0.6666666666666666,8
gen,XGBoost,CD202,1,0.36363636363636365,0.5,0.42105263157894735,8
gen,XGBoost,EMB48,2,0.16666666666666666,0.125,0.14285714285714285,8
