target,model,classe,classe_codigo,precision,recall,f1,support
gen,k-NN (k=5),BR16,0,0.5,0.625,0.5555555555555556,8
gen,k-NN (k=5),CD202,1,0.4,0.5,0.4444444444444444,8
gen,k-NN (k=5),EMB48,2,0.25,0.125,0.16666666666666666,8
