analysis_id,analysis_label,dia,modelo,n_bandas,bandas,n_amostras,n_grupos,n_splits_cv,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_irrigado_media,f1_irrigado_std,f1_macro_media,f1_macro_std,roc_auc_media,roc_auc_std,kappa_media,kappa_std
dia2,dia2,dia2,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.7100000000000001,0.10246950765959602,0.7,0.1118033988749895,0.6914285714285715,0.1762998373597129,0.6923809523809524,0.10231725593309281,0.85,0.14907119849998596,0.3988344988344988,0.21588750210573918
dia3,dia3,dia3,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia4,dia4,dia4,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.96,0.08944271909999157,0.95,0.11180339887498947,0.9333333333333332,0.149071198499986,0.9523809523809523,0.10647942749999,1.0,0.0,0.909090909090909,0.20327890704543544
dia5,dia5,dia5,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia6,dia6,dia6,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia9,dia9,dia9,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8400000000000001,0.1673320053068151,0.8666666666666666,0.13944333775567927,0.8533333333333333,0.14452988925785865,0.8366666666666667,0.17336538165261126,1.0,0.0,0.7032967032967032,0.3024474493301733
