analysis_id,analysis_label,dia,modelo,n_bandas,bandas,n_amostras,n_grupos,n_splits_cv,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_irrigado_media,f1_irrigado_std,f1_macro_media,f1_macro_std,roc_auc_media,roc_auc_std,kappa_media,kappa_std
dia2,dia2,dia2,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.58,0.14832396974191325,0.5833333333333333,0.10206207261596575,0.4714285714285714,0.3055607090886777,0.5428571428571429,0.17263957185045228,0.7500000000000001,0.18633899812498245,0.17575757575757572,0.22283547155450836
dia2,dia2,dia2,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.6599999999999999,0.1341640786499874,0.6666666666666666,0.13176156917368245,0.6647619047619048,0.165526713767058,0.6123809523809525,0.18514411865139496,0.75,0.14433756729740643,0.32264402264402264,0.2574555738901933
dia2,dia2,dia2,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.7100000000000001,0.10246950765959602,0.7,0.1118033988749895,0.6914285714285715,0.1762998373597129,0.6923809523809524,0.10231725593309281,0.85,0.14907119849998596,0.3988344988344988,0.21588750210573918
dia2,dia2,dia2,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.6599999999999999,0.1341640786499874,0.6666666666666666,0.13176156917368245,0.6647619047619048,0.165526713767058,0.6123809523809525,0.18514411865139496,0.8166666666666668,0.19895560643855537,0.32264402264402264,0.2574555738901933
dia2,dia2,dia2,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.62,0.10954451150103324,0.6166666666666666,0.12638125740085915,0.5933333333333334,0.13621877827801698,0.61,0.1121754578030923,0.7500000000000001,0.18633899812498245,0.2230769230769231,0.23087604365658376
dia3,dia3,dia3,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9166666666666666,0.11785113019775793,0.9314285714285715,0.09604420750840921,0.9123809523809523,0.12073095592606257,1.0,0.0,0.8321678321678322,0.23113977455997778
dia3,dia3,dia3,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
dia3,dia3,dia3,LDA,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.96,0.08944271909999157,0.9666666666666666,0.07453559924999302,0.96,0.08944271909999157,0.96,0.08944271909999157,1.0,0.0,0.923076923076923,0.17200522903844534
dia3,dia3,dia3,k-NN (k=5),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.17888543819998318,0.9333333333333332,0.149071198499986,0.9,0.22360679774997896,0.9166666666666666,0.1863389981249825,1.0,0.0,0.8571428571428571,0.31943828249996997
dia3,dia3,dia3,XGBoost,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.9199999999999999,0.1095445115010332,0.9,0.13693063937629152,0.9047619047619048,0.14677176197545183,0.9047619047619048,0.13041013273932528,0.9333333333333333,0.14907119849998596,0.8181818181818181,0.24896479886598463
dia4,dia4,dia4,Random Forest,6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.8400000000000001,0.1673320053068151,0.85,0.14907119849998599,0.7933333333333333,0.21653842358548955,0.8290476190476189,0.17619369366431603,1.0,0.0,0.6893106893106893,0.30907337602923357
dia4,dia4,dia4,SVM (RBF),6,band_1200|band_1451|band_1951|band_970|band_670|NDRE,24,24,5,0.96,0.08944271909999157,0.95,0.11180339887498947,0.9333333333333332,0.149071198499986,0.9523809523809523,0.10647942749999,1.0,0.0,0.909090909090909,0.20327890704543544
