dia,n_amostras,n_grupos,accuracy_media_LDA,accuracy_media_Random Forest,accuracy_media_SVM (RBF),accuracy_media_XGBoost,accuracy_media_k-NN (k=5),balanced_accuracy_media_LDA,balanced_accuracy_media_Random Forest,balanced_accuracy_media_SVM (RBF),balanced_accuracy_media_XGBoost,balanced_accuracy_media_k-NN (k=5),f1_macro_media_LDA,f1_macro_media_Random Forest,f1_macro_media_SVM (RBF),f1_macro_media_XGBoost,f1_macro_media_k-NN (k=5),kappa_media_LDA,kappa_media_Random Forest,kappa_media_SVM (RBF),kappa_media_XGBoost,kappa_media_k-NN (k=5),roc_auc_media_LDA,roc_auc_media_Random Forest,roc_auc_media_SVM (RBF),roc_auc_media_XGBoost,roc_auc_media_k-NN (k=5)
dia2,24,24,0.7100000000000001,0.58,0.6599999999999999,0.62,0.6599999999999999,0.7,0.5833333333333333,0.6666666666666666,0.6166666666666666,0.6666666666666666,0.6923809523809524,0.5428571428571429,0.6123809523809525,0.61,0.6123809523809525,0.3988344988344988,0.17575757575757572,0.32264402264402264,0.2230769230769231,0.32264402264402264,0.85,0.7500000000000001,0.75,0.7500000000000001,0.8166666666666668
dia3,24,24,0.96,0.9199999999999999,1.0,0.9199999999999999,0.9199999999999999,0.9666666666666666,0.9166666666666666,1.0,0.9,0.9333333333333332,0.96,0.9123809523809523,1.0,0.9047619047619048,0.9166666666666666,0.923076923076923,0.8321678321678322,1.0,0.8181818181818181,0.8571428571428571,1.0,1.0,1.0,0.9333333333333333,1.0
dia4,24,24,0.9199999999999999,0.8400000000000001,0.96,0.8400000000000001,0.9199999999999999,0.9166666666666666,0.85,0.95,0.8166666666666667,0.9166666666666666,0.9123809523809523,0.8290476190476189,0.9523809523809523,0.8171428571428571,0.9123809523809523,0.8321678321678322,0.6893106893106893,0.909090909090909,0.6503496503496503,0.8321678321678322,1.0,1.0,1.0,0.9666666666666666,0.9833333333333334
dia5,24,24,0.96,0.9199999999999999,0.95,0.9199999999999999,1.0,0.95,0.9,0.95,0.9,1.0,0.9523809523809523,0.9047619047619048,0.9466666666666667,0.9047619047619048,1.0,0.909090909090909,0.8181818181818181,0.9,0.8181818181818181,1.0,1.0,1.0,1.0,1.0,1.0
dia6,24,24,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.9666666666666666,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.923076923076923,1.0,1.0,1.0,1.0,1.0,1.0
dia9,24,24,0.8300000000000001,0.8400000000000001,0.79,0.8400000000000001,0.79,0.85,0.8666666666666666,0.8166666666666667,0.8666666666666666,0.8166666666666667,0.8266666666666668,0.8366666666666667,0.7833333333333334,0.8366666666666667,0.7833333333333334,0.6692307692307693,0.7032967032967032,0.6032967032967033,0.7032967032967032,0.6032967032967033,1.0,1.0,0.9,1.0,0.9833333333333334
