target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
gen,Random Forest,BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5,0.2721655269759087,0.5,0.2721655269759087,0.48055555555555557,0.28158501994387086,0.25,0.408248290463863,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
gen,SVM (RBF),BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5833333333333333,0.09622504486493762,0.5833333333333333,0.09622504486493762,0.5666666666666667,0.11863420280034788,0.375,0.14433756729740643,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
gen,LDA,BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5,0.13608276348795434,0.5,0.13608276348795434,0.44999999999999996,0.09139972355002268,0.24999999999999997,0.2041241452319315,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
gen,k-NN (k=5),BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5416666666666666,0.15957118462605632,0.5416666666666666,0.15957118462605632,0.5472222222222222,0.15801625170364322,0.3125,0.23935677693908453,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
gen,XGBoost,BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5416666666666666,0.15957118462605632,0.5416666666666666,0.15957118462605632,0.49444444444444435,0.14069199935720428,0.31249999999999994,0.2393567769390845,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
