wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
665,irrigado,1.3808091678,0.0048718945,0.0048718945,2.7577013358
1242,nao_irrigado,1.1426791515,-0.0083223554,0.0083223554,2.7545021183
810,irrigado,1.1165437626,0.0086079606,0.0086079606,2.7200150521
1284,irrigado,0.9728326108,0.0106404171,0.0106404171,2.6997893731
1698,irrigado,1.1180556186,0.0085209827,0.0085209827,2.6961743050
456,irrigado,1.0822429144,0.0090286856,0.0090286856,2.6915800949
1735,nao_irrigado,1.2104111822,-0.0071063893,0.0071063893,2.6694079699
1195,irrigado,1.1210770900,0.0083923123,0.0083923123,2.6650865729
445,irrigado,1.0631814728,0.0092085833,0.0092085833,2.6560119738
1188,irrigado,1.1734059142,0.0075841770,0.0075841770,2.6474916687
570,nao_irrigado,1.2881157658,-0.0059089212,0.0059089212,2.6442178065
1711,irrigado,1.2947509474,0.0057996745,0.0057996745,2.6395018070
550,nao_irrigado,1.2957988289,-0.0057808303,0.0057808303,2.6381735691
594,nao_irrigado,1.1902666120,-0.0073052295,0.0073052295,2.6350163848
1181,nao_irrigado,0.9347749645,-0.0109322205,0.0109322205,2.6040686215
914,nao_irrigado,1.1377198495,-0.0079570963,0.0079570963,2.5941481127
1709,irrigado,1.2826630231,0.0058238404,0.0058238404,2.5839742325
959,irrigado,0.9665817699,0.0104040463,0.0104040463,2.5798178646
817,irrigado,1.0894512513,0.0086146755,0.0086146755,2.5781631284
1710,irrigado,1.2938522049,0.0055962982,0.0055962982,2.5601381900
2443,nao_irrigado,1.0097420527,-0.0097034655,0.0097034655,2.5528239847
2481,irrigado,0.8624756164,0.0118401074,0.0118401074,2.5518641274
597,nao_irrigado,1.2123768015,-0.0066495524,0.0066495524,2.5123603065
1770,nao_irrigado,1.0443568033,-0.0090572174,0.0090572174,2.5002337501
666,irrigado,1.3971514166,0.0039270275,0.0039270275,2.4982777419
2289,nao_irrigado,1.3367236767,-0.0047824604,0.0047824604,2.4900756086
386,nao_irrigado,1.3440461583,-0.0045718028,0.0045718028,2.4518341828
394,nao_irrigado,1.1122259828,-0.0079377479,0.0079377479,2.4512545527
2210,irrigado,1.0183799741,0.0092882427,0.0092882427,2.4465773196
2287,nao_irrigado,1.2128537634,-0.0064392850,0.0064392850,2.4377978118
820,irrigado,1.0875240283,0.0082572329,0.0082572329,2.4368263895
913,nao_irrigado,1.1164680583,-0.0078000640,0.0078000640,2.4233634648
1712,irrigado,1.2707619309,0.0055584227,0.0055584227,2.4232541684
826,nao_irrigado,1.1097973138,-0.0078812892,0.0078812892,2.4176148163
1657,irrigado,1.3059312116,0.0050061276,0.0050061276,2.4080694900
655,irrigado,1.1103920876,0.0078247522,0.0078247522,2.4000513906
1656,irrigado,1.3541428931,0.0042445952,0.0042445952,2.3856326078
1182,nao_irrigado,0.9043656708,-0.0107679843,0.0107679843,2.3818628841
2226,irrigado,1.1635512469,0.0069845113,0.0069845113,2.3751066264
2440,nao_irrigado,0.9593497335,-0.0099275458,0.0099275458,2.3665664334
1769,nao_irrigado,1.0284651501,-0.0088718290,0.0088718290,2.3476031252
1784,nao_irrigado,1.0879998909,-0.0079998706,0.0079998706,2.3449887546
712,irrigado,1.4431646256,0.0027943919,0.0027943919,2.3280500334
1825,irrigado,0.9096808537,0.0105358654,0.0105358654,2.3250594996
1768,nao_irrigado,1.0212884172,-0.0089009946,0.0089009946,2.3200694378
1802,nao_irrigado,1.1334926084,-0.0072602940,0.0072602940,2.3161197105
950,nao_irrigado,0.8726197727,-0.0109995618,0.0109995618,2.2976787619
593,nao_irrigado,1.1833431362,-0.0064780474,0.0064780474,2.2948167743
857,nao_irrigado,1.1179588246,-0.0074248349,0.0074248349,2.2937112605
1771,nao_irrigado,1.0145614253,-0.0088993075,0.0088993075,2.2836179802
2263,nao_irrigado,1.3004081240,-0.0047449172,0.0047449172,2.2828660790
1731,nao_irrigado,1.1811333949,-0.0064590830,0.0064590830,2.2760920261
1256,irrigado,1.0963669491,0.0076869357,0.0076869357,2.2748073767
571,nao_irrigado,1.2563448357,-0.0053331127,0.0053331127,2.2638392074
2209,irrigado,1.0004993743,0.0090420764,0.0090420764,2.2610654357
2208,irrigado,0.9927825654,0.0091337709,0.0091337709,2.2535837079
2310,nao_irrigado,1.5427984026,-0.0010981009,0.0010981009,2.2367567444
376,irrigado,1.0630538089,0.0080518507,0.0080518507,2.2311685926
1186,irrigado,1.1033774264,0.0074384830,0.0074384830,2.2210448556
933,nao_irrigado,0.9692253223,-0.0093797318,0.0093797318,2.2182924802
2294,irrigado,1.3406437069,0.0039451442,0.0039451442,2.2039202381
858,nao_irrigado,1.1257718946,-0.0070207571,0.0070207571,2.1871576351
1283,irrigado,0.9272150626,0.0099038262,0.0099038262,2.1866962553
776,irrigado,1.0825636017,0.0076460286,0.0076460286,2.1862805281
1259,irrigado,1.1333341574,0.0068401857,0.0068401857,2.1612257951
2227,irrigado,1.2435386139,0.0052323666,0.0052323666,2.1586813628
667,irrigado,1.3973072340,0.0029266643,0.0029266643,2.1322836575
592,nao_irrigado,1.1742600216,-0.0061325995,0.0061325995,2.1197609633
2304,nao_irrigado,1.4171292450,-0.0024915405,0.0024915405,2.0783139784
2122,nao_irrigado,1.2117763607,-0.0054693337,0.0054693337,2.0763864476
777,irrigado,1.0878497089,0.0072595986,0.0072595986,2.0727377759
2123,nao_irrigado,1.2299379510,-0.0051836349,0.0051836349,2.0683649963
414,nao_irrigado,1.2782263730,-0.0043837643,0.0043837643,2.0322786044
2286,nao_irrigado,1.1471388811,-0.0062607369,0.0062607369,2.0222810561
475,nao_irrigado,1.2625802853,-0.0045490799,0.0045490799,2.0095559851
476,nao_irrigado,1.1790474982,-0.0057380312,0.0057380312,2.0005779025
816,irrigado,1.0689824926,0.0073337515,0.0073337515,1.9994285752
1796,irrigado,1.1061674687,0.0067787435,0.0067787435,1.9939861463
572,nao_irrigado,1.2320309449,-0.0049316806,0.0049316806,1.9871244143
1806,nao_irrigado,1.0044655203,-0.0082369558,0.0082369558,1.9869615650
1767,nao_irrigado,0.9968988441,-0.0083450698,0.0083450698,1.9863004372
1658,irrigado,1.2525852272,0.0046133919,0.0046133919,1.9798977462
2377,nao_irrigado,1.1952184715,-0.0054373388,0.0054373388,1.9764549784
2474,nao_irrigado,1.0306970130,-0.0078066816,0.0078066816,1.9689117306
2221,nao_irrigado,1.0435545050,-0.0075937847,0.0075937847,1.9593326468
825,nao_irrigado,1.0744771807,-0.0071326724,0.0071326724,1.9549633788
1439,nao_irrigado,1.1523040667,-0.0059950994,0.0059950994,1.9523876941
2285,nao_irrigado,1.1484085085,-0.0060158417,0.0060158417,1.9392431680
1440,nao_irrigado,1.1518193933,-0.0059382763,0.0059382763,1.9289694638
2475,nao_irrigado,1.0412528192,-0.0075328868,0.0075328868,1.9247414965
711,irrigado,1.4136561807,0.0021229877,0.0021229877,1.9246689801
464,nao_irrigado,1.0850377921,-0.0068907270,0.0068907270,1.9224976231
2211,irrigado,1.0066719641,0.0080130715,0.0080130715,1.9166183346
1285,irrigado,0.9586150015,0.0087061540,0.0087061540,1.9147794295
