cultivar,condicao,data_coleta_iso,dia,replicata,bloco,turnos_disponiveis,turno_label,target,model,y_true,y_pred,label_true,label_pred,acertou,prob_IRR,prob_NIRR
BR16,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.8683089777493807,0.13169102225061957
BR16,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9338517696334134,0.06614823036658646
BR16,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9171880579038816,0.08281194209611856
BR16,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9340604811336398,0.06593951886636013
BR16,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.06737282650188818,0.9326271734981119
BR16,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.16403437506243854,0.8359656249375615
BR16,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.04619287302573624,0.9538071269742637
BR16,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.22607228648888278,0.7739277135111171
CD202,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9185356671558657,0.08146433284413436
CD202,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9372075953873524,0.06279240461264742
CD202,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.8899775362790069,0.11002246372099313
CD202,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9197122371306067,0.08028776286939322
CD202,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.12236828618697486,0.8776317138130253
CD202,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.07334891142512617,0.9266510885748737
CD202,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.045972472384684535,0.9540275276153153
CD202,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.06722162614527462,0.9327783738547253
EMB48,IRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.8865521311371781,0.11344786886282196
EMB48,IRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9293215122536086,0.07067848774639122
EMB48,IRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.9372798344621502,0.06272016553784981
EMB48,IRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),0,0,IRR,IRR,True,0.8767703666344597,0.1232296333655402
EMB48,NIRR,2017-02-27,dia6,1,B1,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.13042204184336773,0.8695779581566323
EMB48,NIRR,2017-02-27,dia6,2,B2,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.06753814506802397,0.9324618549319761
EMB48,NIRR,2017-02-27,dia6,3,B3,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.07776901634987857,0.9222309836501215
EMB48,NIRR,2017-02-27,dia6,4,B4,unico,unico,cond,SVM (RBF),1,1,NIRR,NIRR,True,0.10148444298233088,0.8985155570176693
