analysis,wavelength_nm,consensus_mean_boot,consensus_ci_low,consensus_ci_high
cond,400.0,0.8055613178806751,0.7199155094087266,0.8875216093413368
cond,411.0,0.684216460765946,0.6625787259963646,0.7200000000000001
cond,432.0,0.6405471900682284,0.622194227650818,0.6707930267266095
cond,1900.0,0.6113908812798573,0.5957950790147095,0.6417399608851218
cond,1539.0,0.6045181808362604,0.5937500000000001,0.6200000000000001
cond,1520.0,0.5826478770937574,0.43320161356946507,0.7144335702076905
cond,1541.0,0.5732116052904295,0.5514716885785257,0.6083333333333334
cond,1536.0,0.5656657026515306,0.5444976153772114,0.605366375132795
cond,1530.0,0.5634783161889807,0.5438298679948756,0.5963329222236265
cond,1510.0,0.5266229197692623,0.5102849469027984,0.549616445625406
cond,579.0,0.5229623899029933,0.48352753301797424,0.5728533349626448
cond,1906.0,0.5124551641734407,0.4965331769317895,0.5367166905970794
cond,1383.0,0.5088019351263859,0.49342587760690276,0.5386733662485612
cond,1347.0,0.5021608639021093,0.486565460793396,0.5240468566431141
cond,1600.0,0.4867207277359284,0.2853615849818849,0.6287483313318104
cond,1506.0,0.47064071586453754,0.45212822177233075,0.501196502527714
cond,728.0,0.47064023564365237,0.45545221281776255,0.4935159837490618
cond,739.0,0.46873145365693875,0.3946735670698556,0.5318317439753439
cond,415.0,0.4664733084996159,0.45186075408903087,0.49437661528878585
cond,1580.0,0.4654016658115382,0.3086299138220702,0.552331821204612
cond,1907.0,0.4645944479327655,0.45011587289812954,0.48677980963599893
cond,406.0,0.460443983881314,0.44564717697770234,0.48113888079119604
cond,530.0,0.44139319244529207,0.35455677478638575,0.5141846738381294
cond,1939.0,0.43228238302707206,0.4211717974507443,0.44829272863378034
cond,629.0,0.4240823655087319,0.40521139812961665,0.45262194316035964
cond,649.0,0.416522107829174,0.4008362496327887,0.4429500161473854
cond,1385.0,0.4098262525257495,0.3948528955295377,0.43232225121188506
cond,1353.0,0.4007398262331407,0.3852574627728316,0.4241817516209617
cond,1610.0,0.37839675520270705,0.36756881094600696,0.39381881094600696
cond,1959.0,0.37661830117108247,0.3617355813624058,0.39760405760245776
cond,1340.0,0.37566655440283514,0.24636555691633583,0.4675180706235414
cond,1590.0,0.3746113657848088,0.33743864445575095,0.4328085258920856
cond,1639.0,0.37445046595423864,0.3606067868555616,0.3995366687129859
cond,1595.0,0.3728210806982958,0.3594084162112984,0.3935339424421179
cond,1634.0,0.3669069592219476,0.3534313596244346,0.3869178797314216
cond,510.0,0.3598758247793227,0.346621518138863,0.38053981105850426
cond,540.0,0.33945741250548345,0.2857484386175887,0.39359768717894816
cond,1919.0,0.3345576437783471,0.31855972594389326,0.3586539195975666
cond,1989.0,0.32241619740342503,0.3074378715420879,0.34645972423819993
cond,680.0,0.3182995648549906,0.3041666581859301,0.3410462468746772
cond,1620.0,0.31733794527709985,0.30649902115042427,0.33274902115042426
cond,619.0,0.31284321028542955,0.2508348974035137,0.37336407032429714
cond,1387.0,0.31174766883303173,0.29819668025848434,0.33217116380518785
cond,589.0,0.30430841092712935,0.29038945410955475,0.32493914835524207
cond,1839.0,0.2929170794861578,0.28016246882004076,0.31481637556363373
cond,1979.0,0.27688373534228883,0.2622274404315599,0.30031968918251706
cond,1369.0,0.2730536169670439,0.2592971731457821,0.2981903722048034
cond,1787.0,0.26940975971795056,0.254633458760174,0.29132019974354095
cond,1819.0,0.25886826056425283,0.24527584641846611,0.27892133553828247
cond,1529.0,0.2452926694802935,0.23251638808047975,0.26482351086972084
cond,1518.0,0.20354116401262226,0.1907737313394216,0.22305102975371593
gen,522.0,0.7035292564427547,0.6888888888888889,0.7200000000000001
gen,704.0,0.6919221216216556,0.6723518187229067,0.7200000000000001
gen,705.0,0.6748006580228271,0.653825454451878,0.7102206561855469
gen,707.0,0.6746541645329617,0.585819879816764,0.7444383281822613
gen,721.0,0.6613198059802697,0.6033936739116262,0.7178667779320351
gen,706.0,0.6370382743322455,0.6174513814426357,0.6671060264184088
gen,712.0,0.6369401255877132,0.6185395792781108,0.6684510775277254
gen,740.0,0.574049882808999,0.4365374334165311,0.6769820752498278
gen,1375.0,0.5595293466361806,0.5393245613187545,0.5924853740994452
gen,550.0,0.5369619841785822,0.423970023531055,0.625
gen,1381.0,0.524271333371449,0.5090114530227022,0.5606129033980535
gen,538.0,0.5147414784812808,0.49843907527550396,0.5533333333333333
gen,710.0,0.5106497947009121,0.4960094271470464,0.5271205382581575
gen,730.0,0.5050344192253918,0.3602289609723691,0.5833301751468307
gen,580.0,0.5039820207476124,0.4274670834975043,0.5687997672990581
gen,720.0,0.5014453924991217,0.39039602371970145,0.5877387005178718
gen,551.0,0.495871808952397,0.4795527572911844,0.5195488850543915
gen,552.0,0.49179908148411644,0.4754268473436024,0.511065288878516
gen,610.0,0.4484600335850903,0.43465796076289787,0.47843153857311
gen,1730.0,0.44667488959445234,0.4274807056030666,0.4755687024044384
gen,519.0,0.4425941393290534,0.423664119777082,0.47058183044583735
gen,1391.0,0.4399941861420596,0.42478861979430266,0.46000810352999827
gen,630.0,0.43562107095864216,0.4209807034047765,0.4520918145158876
gen,553.0,0.4200528841413868,0.40188033197954437,0.4458926950280213
gen,1380.0,0.4153985215330777,0.20309321823130827,0.49912432299230136
gen,1386.0,0.4098275283077234,0.39166756485057963,0.43562970731245093
gen,980.0,0.40478968874760624,0.38607322451611575,0.4322554361593211
gen,540.0,0.3979943742073111,0.38296744363799773,0.420855016792251
gen,1360.0,0.3946350615616899,0.3786475672295243,0.41550243700707507
gen,2189.0,0.3731976416679302,0.36130337477822955,0.3959897132271418
gen,1359.0,0.3724461120016411,0.3575147339485054,0.3941302036433288
gen,1726.0,0.363341556261119,0.34414737226973324,0.392235369071105
gen,400.0,0.35883550137710446,0.3439573299004175,0.38029726623364896
gen,546.0,0.35337066299493963,0.33577557908661054,0.3818875358547187
gen,1400.0,0.33818626136206686,0.31981493851394777,0.363996459785189
gen,679.0,0.328535425912269,0.2948161060058223,0.37857151678327805
gen,640.0,0.327921858881958,0.3132814913280924,0.3443926024392035
gen,1835.0,0.32772190972470355,0.265330443807594,0.40407355366465336
gen,1369.0,0.32268137015114967,0.24268321857922032,0.4261965647548391
gen,956.0,0.3214563554142729,0.3027398911827825,0.34892210282598785
gen,620.0,0.3211858420842182,0.3079183341151606,0.34931433620883623
gen,530.0,0.31466104087397767,0.29963411030466436,0.33752168345891764
gen,1390.0,0.2993799544190685,0.28086433005767647,0.3257525608332702
gen,1886.0,0.2773037348183277,0.26515050781747457,0.3027460653329199
gen,1689.0,0.2725581548088379,0.25791778725497233,0.2890288983660834
gen,1384.0,0.2614213840741475,0.24982183505358335,0.28379928228181917
gen,1379.0,0.2540900045893985,0.23901141504160978,0.27370886368645
gen,1410.0,0.24600040453907152,0.23334417578350536,0.2732671218941285
gen,1694.0,0.19630013647549216,0.18152397805509762,0.21497805262604117
gen_cond,400.0,0.7311968981404259,0.6231994127516464,0.8230487193991662
gen_cond,521.0,0.6940438967202707,0.6735384957224634,0.7200000000000001
gen_cond,417.0,0.6817968021787388,0.6618826778725215,0.71043541081787
gen_cond,707.0,0.6741051616949902,0.6532903451903359,0.7081674162865599
gen_cond,528.0,0.6735951207557771,0.6550539046455223,0.7040204229606588
gen_cond,717.0,0.6544324718733662,0.6354005480212938,0.6817764561367504
gen_cond,401.0,0.6103667172547693,0.43346760569780624,0.7200000000000001
gen_cond,1522.0,0.5964597399984286,0.5766510411515468,0.6250720918722309
gen_cond,706.0,0.581796802178739,0.5618826778725214,0.6104354108178699
gen_cond,1521.0,0.5737655509802584,0.553656131402738,0.6088162190207951
gen_cond,720.0,0.565361183723332,0.3975650636075088,0.6454874820553094
gen_cond,1526.0,0.5645963749155914,0.5496395453375083,0.5814461960422573
gen_cond,1374.0,0.5610253340088871,0.5407372724363316,0.5930065460935462
gen_cond,1510.0,0.5391005069519847,0.5221439517764354,0.5654466532097641
gen_cond,719.0,0.5264178333866532,0.5069946720522043,0.5591193240901873
gen_cond,723.0,0.5245632459838033,0.5066111215678397,0.5539341988954053
gen_cond,1540.0,0.5131264066650952,0.4933177078182133,0.5417387585388976
gen_cond,710.0,0.5036144570547536,0.48336909506498643,0.5290512705081845
gen_cond,550.0,0.49616666703956586,0.430140841261543,0.5539024051245613
gen_cond,1383.0,0.48736213605196743,0.4697093291306081,0.5113977743942981
gen_cond,520.0,0.48529202845932945,0.4675610516568528,0.5149928576773803
gen_cond,1527.0,0.48289209842180275,0.4658559938147567,0.510438606222525
gen_cond,530.0,0.4800641014976186,0.3603748065465234,0.5655619290835789
gen_cond,740.0,0.4724661881503716,0.31417130696207785,0.581743850576068
gen_cond,1600.0,0.45779500136028134,0.36097115587252365,0.532191260871474
gen_cond,1590.0,0.45149701799273145,0.43210678798481816,0.4782948846521423
gen_cond,1386.0,0.44729161295926234,0.404036522905385,0.5002500011974422
gen_cond,630.0,0.4453619390384898,0.4260297482672439,0.4689751779173951
gen_cond,620.0,0.43500406550528137,0.41861852639134506,0.4598803304069875
gen_cond,730.0,0.4315006029352211,0.3348308000115739,0.49376591634360173
gen_cond,1906.0,0.4247058620423067,0.40705878863774175,0.45453184632111177
gen_cond,547.0,0.4222465838624303,0.40455030937694375,0.44926490141013486
gen_cond,1901.0,0.41972599382856673,0.4024534714700704,0.44267081821477855
gen_cond,1359.0,0.40818862514390697,0.3049109661295771,0.502812824522734
gen_cond,572.0,0.40105778440187895,0.38136368600946396,0.42948714436707586
gen_cond,729.0,0.3987867742800479,0.3838019300868139,0.414913041197925
gen_cond,540.0,0.38496517482006526,0.3355830863319303,0.43065863817216204
gen_cond,1969.0,0.3717288956536159,0.3529434106306508,0.4022475131393702
gen_cond,741.0,0.36597588713287704,0.35002437073608866,0.39277177865122925
gen_cond,1490.0,0.36362341646146257,0.3442375319542153,0.39295548444995365
gen_cond,1729.0,0.35636494354751524,0.3379390323352715,0.37961903112536244
gen_cond,546.0,0.354603334201163,0.336927041313762,0.37870634004150183
gen_cond,640.0,0.3463932511710621,0.3276340227953992,0.36886230193326713
gen_cond,1389.0,0.3346978938509993,0.3186326825585042,0.35874958668858936
gen_cond,1900.0,0.32859053337920135,0.2967952490924069,0.38641691094274155
gen_cond,1959.0,0.32719520397013463,0.3085501118116965,0.3572332330783308
gen_cond,1382.0,0.3242974001925738,0.3083464274160108,0.3510919547936868
gen_cond,1489.0,0.3219567497947959,0.30257086528754856,0.35128881778328697
gen_cond,579.0,0.3131269551337305,0.2946810775284971,0.34248303933515983
gen_cond,1719.0,0.312263919951199,0.29392560599334977,0.335310511421308
gen_cond,1340.0,0.2832357784184806,0.2676205639018719,0.3061291117708755
gen_cond,1369.0,0.2810848302145207,0.26396115304134876,0.3036027048338772
gen_cond,1355.0,0.2674427092321841,0.2505994396127497,0.2860856498380091
gen_cond,519.0,0.2637348422035596,0.24461295241940662,0.29198512600818627
