analysis,wavelength_nm,obs_score,p_perm,q_fdr_bh_perm,significativo_perm_fdr_0_05
cond,400.0,0.797458093709148,0.0016638935108153079,0.01281198003327787,True
cond,411.0,0.6538287259963645,0.0016638935108153079,0.01281198003327787,True
cond,1520.0,0.6366526857047089,0.0016638935108153079,0.01281198003327787,True
cond,432.0,0.613444227650818,0.0016638935108153079,0.01281198003327787,True
cond,1900.0,0.5870450790147095,0.0016638935108153079,0.01281198003327787,True
cond,1539.0,0.5850000000000001,0.07487520798668885,0.46123128119800333,False
cond,1541.0,0.5427216885785257,0.12479201331114809,0.5338325013865779,False
cond,1600.0,0.5373057199973703,0.9883527454242929,1.0,False
cond,1536.0,0.5357476153772114,0.09484193011647254,0.5338325013865779,False
cond,1530.0,0.5350798679948756,0.11980033277870217,0.5338325013865779,False
cond,1510.0,0.5015349469027984,0.0016638935108153079,0.01281198003327787,True
cond,579.0,0.4972162763862073,0.6555740432612313,1.0,False
cond,1906.0,0.48778317693178946,0.18469217970049917,0.6772046589018303,False
cond,1383.0,0.4846758776069027,0.1064891846921797,0.5338325013865779,False
cond,1347.0,0.477815460793396,0.09983361064891846,0.5338325013865779,False
cond,1580.0,0.4741339645350204,0.7304492512479202,1.0,False
cond,739.0,0.45716609576617895,1.0,1.0,False
cond,728.0,0.4467022128177625,0.5840266222961731,1.0,False
cond,1506.0,0.44337822177233077,0.024958402662229616,0.1747088186356073,False
cond,415.0,0.44311075408903083,0.5291181364392679,1.0,False
cond,1907.0,0.4413658728981295,0.6805324459234608,1.0,False
cond,406.0,0.4368971769777023,0.5940099833610649,1.0,False
cond,530.0,0.43511765446179207,0.8785357737104825,1.0,False
cond,1939.0,0.41242179745074425,0.9983361064891847,1.0,False
cond,629.0,0.3964613981296166,0.6955074875207987,1.0,False
cond,1340.0,0.39511087899235964,0.9966722129783694,1.0,False
cond,649.0,0.39208624963278865,0.1896838602329451,0.6793328947877568,False
cond,1385.0,0.3861028955295377,0.718801996672213,1.0,False
cond,1353.0,0.3765074627728316,0.9916805324459235,1.0,False
cond,1590.0,0.36175235737934225,0.8236272878535774,1.0,False
cond,1610.0,0.358818810946007,0.8202995008319468,1.0,False
cond,1959.0,0.35298558136240576,0.9767054908485857,1.0,False
cond,1639.0,0.3518567868555616,0.9750415973377704,1.0,False
cond,1595.0,0.35065841621129845,0.9101497504159733,1.0,False
cond,1634.0,0.3446813596244346,0.9966722129783694,1.0,False
cond,510.0,0.337871518138863,0.7154742096505824,1.0,False
cond,540.0,0.31296036942635924,0.9717138103161398,1.0,False
cond,1919.0,0.3098097259438933,0.6356073211314476,1.0,False
cond,1989.0,0.2986878715420879,0.9217970049916805,1.0,False
cond,1620.0,0.29774902115042423,0.891846921797005,1.0,False
cond,680.0,0.2954166581859301,0.3594009983361065,1.0,False
cond,1387.0,0.28944668025848436,0.6888519134775375,1.0,False
cond,619.0,0.2894037932855785,0.8019966722129783,1.0,False
cond,589.0,0.28163945410955477,0.8752079866888519,1.0,False
cond,1839.0,0.2714124688200408,0.8618968386023295,1.0,False
cond,1979.0,0.25347744043155984,0.8618968386023295,1.0,False
cond,1369.0,0.2505471731457821,0.6222961730449251,1.0,False
cond,1787.0,0.24588345876017403,0.8369384359400999,1.0,False
cond,1819.0,0.23652584641846613,0.8435940099833611,1.0,False
cond,1529.0,0.22376638808047977,0.831946755407654,1.0,False
cond,1518.0,0.18202373133942157,0.9683860232945092,1.0,False
gen,522.0,0.6708075761138559,0.0016638935108153079,0.01281198003327787,True
gen,704.0,0.6558351800120772,0.0016638935108153079,0.01281198003327787,True
gen,707.0,0.6492897461319501,0.0016638935108153079,0.01281198003327787,True
gen,721.0,0.6425590557799827,0.0016638935108153079,0.01281198003327787,True
gen,705.0,0.6390617091730723,0.0016638935108153079,0.01281198003327787,True
gen,712.0,0.6071144479837027,0.0016638935108153079,0.01281198003327787,True
gen,706.0,0.6061292112479146,0.0016638935108153079,0.01281198003327787,True
gen,740.0,0.5673958916454372,0.9983361064891847,1.0,False
gen,1375.0,0.5259328348537685,0.10981697171381032,0.5338325013865779,False
gen,720.0,0.5119563822196831,0.3777038269550749,1.0,False
gen,550.0,0.5029569478333148,0.0066555740432612314,0.048807542983915694,True
gen,580.0,0.49084834207864736,0.831946755407654,1.0,False
gen,1381.0,0.4903730428516491,0.5474209650582362,1.0,False
gen,730.0,0.4859686690380464,0.6921797004991681,1.0,False
gen,710.0,0.47883133237764747,0.11480865224625623,0.5338325013865779,False
gen,538.0,0.47820686107109867,0.03161397670549085,0.21167619185415612,False
gen,551.0,0.4718164093541905,0.3161397670549085,0.9546181201265864,False
gen,552.0,0.46808087715922275,0.632279534109817,1.0,False
gen,1391.0,0.41907997223670884,0.8885191347753744,1.0,False
gen,610.0,0.4188835346584338,0.2978369384359401,0.9173377703826955,False
gen,1380.0,0.41812051008092777,1.0,1.0,False
