data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH,slot,family_nm,dataset,neglog10_q,inv_rank
D03M,MANHA,cond,5,1353.0,1.6275752327481861e-09,4.974898364182607e-09,D03M_MANHA,1350.0,TOP5_n10_10_0001,8.303215787345499,0.2
D03M,MANHA,gen,1,707.0,2.244345017231987e-27,5.484888861730042e-25,D03M_MANHA,700.0,TOP5_n10_10_0001,24.260832167948227,1.0
D03M,MANHA,gen,2,730.0,5.207931835389966e-24,3.683264894615456e-22,D03M_MANHA,730.0,TOP5_n10_10_0001,21.433767046246132,0.5
D03M,MANHA,gen,3,1381.0,2.4741090044473664e-20,6.342996960151935e-19,D03M_MANHA,1380.0,TOP5_n10_10_0001,18.197705496735843,0.3333333333333333
D03M,MANHA,gen,4,580.0,6.358315302130416e-17,1.1748562778981517e-15,D03M_MANHA,580.0,TOP5_n10_10_0001,14.930015258101552,0.25
D03M,MANHA,gen,5,740.0,3.0461796556811496e-14,4.3386906068069693e-13,D03M_MANHA,740.0,TOP5_n10_10_0001,12.362641318422819,0.2
D03T,TARDE,gen_cond,1,707.0,3.622098422678767e-24,1.3776203915262348e-21,D03T_TARDE,700.0,TOP5_n10_10_0001,20.860870437419326,1.0
D03T,TARDE,gen_cond,2,1374.0,4.573608265173594e-21,2.680134443391726e-19,D03T_TARDE,1370.0,TOP5_n10_10_0001,18.571843419941857,0.5
D03T,TARDE,gen_cond,3,740.0,2.8401174999780057e-17,4.936509315639737e-16,D03T_TARDE,740.0,TOP5_n10_10_0001,15.30658003909619,0.3333333333333333
D03T,TARDE,gen_cond,4,1490.0,1.372854964487162e-16,2.231464953970758e-15,D03T_TARDE,1490.0,TOP5_n10_10_0001,14.651409929534468,0.25
D03T,TARDE,gen_cond,5,1359.0,1.780975280776969e-15,1.6989675818016574e-14,D03T_TARDE,1350.0,TOP5_n10_10_0001,13.769814907875496,0.2
D03T,TARDE,cond,1,1510.0,2.8599617650037078e-12,2.566671066849432e-10,D03T_TARDE,1510.0,TOP5_n10_10_0001,9.590629785012068,1.0
D03T,TARDE,cond,2,1347.0,3.5472980694601837e-10,5.831269243658221e-09,D03T_TARDE,1340.0,TOP5_n10_10_0001,8.234236905700287,0.5
D03T,TARDE,cond,3,406.0,2.526316916151676e-08,1.6768530728243e-07,D03T_TARDE,400.0,TOP5_n10_10_0001,6.775504988948532,0.3333333333333333
D03T,TARDE,cond,4,1580.0,8.038966402234369e-08,3.406595060120391e-07,D03T_TARDE,1580.0,TOP5_n10_10_0001,6.467679487684595,0.25
D03T,TARDE,cond,5,1959.0,9.414324528836785e-08,3.861755921728849e-07,D03T_TARDE,1950.0,TOP5_n10_10_0001,6.4132151788207645,0.2
D03T,TARDE,gen,1,705.0,3.301956681756166e-23,9.703560464297976e-21,D03T_TARDE,700.0,TOP5_n10_10_0001,20.013068883643253,1.0
D03T,TARDE,gen,2,1375.0,1.2834696808637653e-19,3.2498719943846698e-18,D03T_TARDE,1370.0,TOP5_n10_10_0001,17.488133744629497,0.5
D03T,TARDE,gen,3,740.0,6.34370960914666e-18,1.227447963052811e-16,D03T_TARDE,740.0,TOP5_n10_10_0001,15.910996910478358,0.3333333333333333
D03T,TARDE,gen,4,519.0,3.221780975260197e-15,4.8947205779693806e-14,D03T_TARDE,510.0,TOP5_n10_10_0001,13.310272095466505,0.25
D03T,TARDE,gen,5,1390.0,8.709694605702502e-14,1.1164739772684894e-12,D03T_TARDE,1390.0,TOP5_n10_10_0001,11.952151394993265,0.2
D04M,MANHA,gen_cond,1,417.0,2.203853567660124e-24,3.7353848844405313e-23,D04M_MANHA,410.0,TOP5_n10_10_0001,22.42766464295785,1.0
D04M,MANHA,gen_cond,2,706.0,1.702215480481531e-24,3.7353848844405313e-23,D04M_MANHA,700.0,TOP5_n10_10_0001,22.42766464295785,0.5
D04M,MANHA,gen_cond,3,730.0,1.8224373850559765e-23,1.6393943319078102e-22,D04M_MANHA,730.0,TOP5_n10_10_0001,21.78531657078985,0.3333333333333333
D04M,MANHA,gen_cond,4,572.0,5.507604984213511e-23,3.7906368532288296e-22,D04M_MANHA,570.0,TOP5_n10_10_0001,21.421287819422975,0.25
D04M,MANHA,gen_cond,5,1386.0,2.2561353718237962e-19,1.3690336235534336e-18,D04M_MANHA,1380.0,TOP5_n10_10_0001,17.86358588543475,0.2
D04M,MANHA,cond,1,411.0,4.404158465697787e-25,1.4026510946499833e-23,D04M_MANHA,410.0,TOP5_n10_10_0001,22.853050345017746,1.0
D04M,MANHA,cond,2,579.0,4.2678072418668535e-12,3.6471969387787154e-11,D04M_MANHA,570.0,TOP5_n10_10_0001,10.438040785324649,0.5
D04M,MANHA,cond,3,1907.0,2.89303115184317e-09,2.3178151923556024e-08,D04M_MANHA,1900.0,TOP5_n10_10_0001,7.63492119483482,0.3333333333333333
D04M,MANHA,cond,4,1387.0,3.621573137666812e-07,2.171884943086149e-06,D04M_MANHA,1380.0,TOP5_n10_10_0001,5.663163185485734,0.25
D04M,MANHA,cond,5,1634.0,2.8515405591675397e-06,1.5270260278988572e-05,D04M_MANHA,1630.0,TOP5_n10_10_0001,4.816153560404932,0.2
D04M,MANHA,gen,1,704.0,1.687545660040208e-26,5.768593581237445e-24,D04M_MANHA,700.0,TOP5_n10_10_0001,23.23893005761726,1.0
D04M,MANHA,gen,2,730.0,1.3923474834811432e-19,3.9662565119719795e-18,D04M_MANHA,730.0,TOP5_n10_10_0001,17.401619201847428,0.5
D04M,MANHA,gen,3,580.0,1.9229957801174325e-15,4.0660457165163455e-14,D04M_MANHA,580.0,TOP5_n10_10_0001,13.390827742687856,0.3333333333333333
D04M,MANHA,gen,4,1380.0,4.301925320602315e-09,5.380029775948384e-08,D04M_MANHA,1380.0,TOP5_n10_10_0001,7.269215320710137,0.25
