analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia3_BR16,dia3 - BR16,dia3,BR16,Random Forest,Nao irrigado,3,1
dia3_BR16,dia3 - BR16,dia3,BR16,Random Forest,Irrigado,0,4
