target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_1521|band_719|band_1969|band_530,0.5833333333333333,0.3469443332443555,0.5833333333333333,0.3469443332443555,0.5277777777777778,0.3671153259555372,0.49999999999999994,0.41633319989322665,,,TOP5_gen_cond_D09M_MANHA,gen_cond,09,dia9,M,MANHA,cv_grouped,42
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,4,band_717|band_550|band_1349|band_1951,0.5,0.3600411499115478,0.5,0.3600411499115478,0.43055555555555547,0.32827959076362656,0.4,0.4320493798938572,,,TOP5_gen_cond_D09T_TARDE,gen_cond,09,dia9,T,TARDE,cv_grouped,42
gen,k-NN (k=5),BR16; CD202; EMB48,3,24,12,4,5,band_522|band_710|band_630|band_730|band_679,0.6666666666666666,0.13608276348795434,0.6666666666666666,0.13608276348795434,0.6444444444444445,0.1599897116033717,0.5,0.20412414523193156,,,TOP5_gen_D02M_MANHA,gen,02,dia2,M,MANHA,cv_grouped,42
gen,k-NN (k=5),BR16; CD202; EMB48,3,24,12,4,5,band_550|band_610|band_720|band_679|band_2189,0.6666666666666666,0.13608276348795434,0.6666666666666666,0.13608276348795434,0.6472222222222223,0.16034299655179793,0.5,0.20412414523193156,,,TOP5_gen_D02T_TARDE,gen,02,dia2,T,TARDE,cv_grouped,42
gen,LDA,BR16; CD202; EMB48,3,24,12,4,5,band_707|band_730|band_1349|band_580|band_1451,0.7916666666666666,0.08333333333333337,0.7916666666666666,0.08333333333333337,0.7833333333333333,0.07777777777777783,0.6875,0.125,,,TOP5_gen_D03M_MANHA,gen,03,dia3,M,MANHA,cv_grouped,42
gen,SVM (RBF),BR16; CD202; EMB48,3,24,12,4,4,band_705|band_1349|band_740|band_519,0.75,0.09622504486493767,0.75,0.09622504486493767,0.7444444444444445,0.08981004187394186,0.625,0.14433756729740643,,,TOP5_gen_D03T_TARDE,gen,03,dia3,T,TARDE,cv_grouped,42
gen,SVM (RBF),BR16; CD202; EMB48,3,24,12,4,5,band_704|band_730|band_580|band_1349|band_1799,0.5833333333333333,0.09622504486493762,0.5833333333333333,0.09622504486493762,0.5666666666666667,0.11863420280034788,0.375,0.14433756729740643,,,TOP5_gen_D04M_MANHA,gen,04,dia4,M,MANHA,cv_grouped,42
gen,LDA,BR16; CD202; EMB48,3,24,12,4,5,band_706|band_1730|band_980|band_553|band_1349,0.6666666666666666,0.13608276348795434,0.6666666666666666,0.13608276348795434,0.6527777777777778,0.14554424609724864,0.5,0.2041241452319315,,,TOP5_gen_D05M_MANHA,gen,05,dia5,M,MANHA,cv_grouped,42
gen,SVM (RBF),BR16; CD202; EMB48,3,24,12,4,5,band_721|band_551|band_1349|band_1799|band_1694,0.625,0.15957118462605635,0.625,0.15957118462605635,0.5972222222222222,0.18534252575124754,0.4375,0.23935677693908455,,,TOP5_gen_D06M_MANHA,gen,06,dia6,M,MANHA,cv_grouped,42
gen,Random Forest,BR16; CD202; EMB48,3,24,12,4,2,band_721|band_552,0.625,0.2097176232019653,0.625,0.2097176232019653,0.5916666666666667,0.20435082397499474,0.4375,0.3145764348029479,,,TOP5_gen_D09M_MANHA,gen,09,dia9,M,MANHA,cv_grouped,42
gen,SVM (RBF),BR16; CD202; EMB48,3,24,12,4,4,band_712|band_550|band_740|band_1349,0.5833333333333334,0.16666666666666669,0.5833333333333334,0.16666666666666669,0.5638888888888889,0.18333333333333338,0.375,0.25,,,TOP5_gen_D09T_TARDE,gen,09,dia9,T,TARDE,cv_grouped,42
