target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_400|band_1536|band_1600|band_530|band_739,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D05M_MANHA,cond,05,dia5,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,k-NN (k=5),IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_400|band_1539|band_530|band_1610|band_1951,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333337,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D06M_MANHA,cond,06,dia6,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9166666666666667,0.09622504486493762,0.9166666666666666,0.09622504486493767,0.9142857142857143,0.09897433186107873,0.8333333333333334,0.1924500897298752,1.0,0.0,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9166666666666667,0.0962250448649376,0.9166666666666665,0.09622504486493767,0.9142857142857141,0.09897433186107873,0.8333333333333335,0.1924500897298752,1.0,0.0,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,k-NN (k=5),IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9166666666666667,0.09622504486493762,0.9166666666666666,0.09622504486493767,0.9142857142857143,0.09897433186107873,0.8333333333333334,0.1924500897298752,0.9722222222222222,0.03207501495497923,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,XGBoost,IRR; NIRR,2,24,8,4,5,band_400|band_1530|band_579|band_1590|band_1989,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333337,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09M_MANHA,cond,09,dia9,M,MANHA,cv_grouped,42
cond,Random Forest,IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.9583333333333334,0.08333333333333331,0.9583333333333333,0.08333333333333338,0.9571428571428571,0.08571428571428574,0.9166666666666667,0.16666666666666663,1.0,0.0,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
cond,SVM (RBF),IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.9166666666666667,0.0962250448649376,0.9166666666666665,0.09622504486493767,0.9142857142857141,0.09897433186107873,0.8333333333333335,0.1924500897298752,1.0,0.0,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
cond,LDA,IRR; NIRR,2,24,8,4,5,band_1951|band_1349|band_415|band_1639|band_1799,0.9166666666666667,0.0962250448649376,0.9166666666666665,0.09622504486493767,0.9142857142857141,0.09897433186107873,0.8333333333333335,0.1924500897298752,1.0,0.0,TOP5_cond_D09T_TARDE,cond,09,dia9,T,TARDE,cv_grouped,42
