data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-23,BR16,manha,1,0.2935131740691291,0.6554000665914606,1.0,0.96875
2017-02-23,BR16,manha,2,0.2454613039765073,0.7589949930006107,1.0,1.0
2017-02-23,BR16,manha,3,0.2083679451701507,0.8263311977022763,1.0,1.0
2017-02-23,BR16,manha,4,0.16715318751707187,0.8882392476115304,1.0,1.0
2017-02-23,BR16,manha,5,0.1210064937588476,0.9414297138727599,1.0,1.0
2017-02-23,BR16,manha,6,0.09909894326643967,0.9607175977738999,1.0,1.0
2017-02-23,BR16,manha,7,0.09133403039839845,0.9666323795647377,1.0,1.0
2017-02-23,BR16,manha,8,0.08565125345220272,0.9706554511282661,1.0,1.0
2017-02-23,BR16,manha,9,0.0796344966031681,0.97463338780304,1.0,1.0
2017-02-23,BR16,manha,10,0.08229704004671787,0.9729087887981956,1.0,1.0
2017-02-23,BR16,manha,11,0.08199597270612637,0.9731066418399047,1.0,1.0
2017-02-23,BR16,manha,12,0.08080706939137662,0.973880870145509,1.0,1.0
2017-02-23,BR16,manha,13,0.08051856372932159,0.9740670435798687,1.0,1.0
2017-02-23,BR16,manha,14,0.08055357443051075,0.9740444865858726,1.0,1.0
2017-02-23,BR16,manha,15,0.0806290611368646,0.973995818000751,1.0,1.0
2017-02-23,BR16,tarde,1,0.3796014149447852,0.42361106308766794,0.8701171875,0.828125
2017-02-23,BR16,tarde,2,0.3042991740680518,0.629608050646006,0.9609375,0.875
2017-02-23,BR16,tarde,3,0.253673409822457,0.7425992045961911,0.9873046875,0.9375
2017-02-23,BR16,tarde,4,0.25271777936558115,0.7445348959701178,0.99609375,0.953125
2017-02-23,BR16,tarde,5,0.21685844309901892,0.8118896626266783,0.9990234375,0.953125
2017-02-23,BR16,tarde,6,0.1908210364943042,0.8543493281249577,1.0,0.984375
2017-02-23,BR16,tarde,7,0.16586598225703936,0.88995390371963,1.0,1.0
2017-02-23,BR16,tarde,8,0.14996025495256304,0.9100476877382492,1.0,1.0
2017-02-23,BR16,tarde,9,0.13709122272361973,0.9248239866085716,1.0,1.0
2017-02-23,BR16,tarde,10,0.13449752362703896,0.9276416645527764,1.0,1.0
2017-02-23,BR16,tarde,11,0.12856764020984224,0.9338814475634902,1.0,1.0
2017-02-23,BR16,tarde,12,0.1264997714031777,0.9359912313397751,1.0,1.0
2017-02-23,BR16,tarde,13,0.1259711208723711,0.9365251068246339,1.0,1.0
2017-02-23,BR16,tarde,14,0.12501448349364377,0.9374855156672699,1.0,1.0
2017-02-23,BR16,tarde,15,0.12481344633587167,0.93768641445505,1.0,1.0
2017-02-23,CD202,manha,1,0.39519548301865337,0.37528212080661305,0.78125,0.8125
2017-02-23,CD202,manha,2,0.3423086658026371,0.531299109265674,0.916015625,0.859375
2017-02-23,CD202,manha,3,0.29160096119581513,0.6598755177187069,0.9658203125,0.859375
2017-02-23,CD202,manha,4,0.23675359334463206,0.7757909441536184,1.0,1.0
2017-02-23,CD202,manha,5,0.18469492905855073,0.8635511327202277,1.0,1.0
2017-02-23,CD202,manha,6,0.17922128524057548,0.8715189236668651,1.0,1.0
2017-02-23,CD202,manha,7,0.16147459366193184,0.895703822406856,1.0,1.0
2017-02-23,CD202,manha,8,0.1466517402433086,0.9139730683344366,1.0,1.0
2017-02-23,CD202,manha,9,0.14517629471951518,0.9156953738060498,1.0,1.0
2017-02-23,CD202,manha,10,0.138289314895361,0.9235042615430867,1.0,1.0
2017-02-23,CD202,manha,11,0.13895409993744826,0.9227670324422945,1.0,1.0
2017-02-23,CD202,manha,12,0.1363554557738227,0.9256287587228523,1.0,1.0
2017-02-23,CD202,manha,13,0.13679003477147433,0.9251539455488753,1.0,1.0
2017-02-23,CD202,manha,14,0.13740761371132085,0.9244765907766417,1.0,1.0
2017-02-23,CD202,manha,15,0.13710132279270515,0.9248129091539619,1.0,1.0
2017-02-23,CD202,tarde,1,0.32528048335588583,0.5767704285910451,0.94921875,0.875
2017-02-23,CD202,tarde,2,0.27937183592127107,0.6878055091759135,0.984375,0.890625
2017-02-23,CD202,tarde,3,0.2720290200297921,0.7040008490465238,0.994140625,0.921875
2017-02-23,CD202,tarde,4,0.21181421668842312,0.820538950434679,1.0,1.0
2017-02-23,CD202,tarde,5,0.17218051675988233,0.8814154785931996,1.0,1.0
2017-02-23,CD202,tarde,6,0.1510084928512135,0.9087857403472199,1.0,1.0
2017-02-23,CD202,tarde,7,0.13298769317825748,0.9292570938525025,1.0,1.0
2017-02-23,CD202,tarde,8,0.12446864067370991,0.9380302299553556,1.0,1.0
