data_coleta_iso,genotipo,turno,r2cv,rmsecv,auc,accuracy,best_components,rank,wavelength,range_label,range_start,range_end,direction,vip,coefficient,abs_coefficient,score
2017-02-23,BR16,manha,0.97463338780304,0.0796344966031681,1.0,1.0,9,1,1274,NIR,700,1300,irrigado,1.848658175565364,0.00450375049947704,0.00450375049947704,9.859281026265542
2017-02-23,BR16,manha,0.97463338780304,0.0796344966031681,1.0,1.0,9,2,1275,NIR,700,1300,irrigado,1.7732351285752888,0.004195981565757612,0.004195981565757612,8.997715451937681
2017-02-23,BR16,manha,0.97463338780304,0.0796344966031681,1.0,1.0,9,3,1273,NIR,700,1300,irrigado,1.7605518653546492,0.004004538200883393,0.004004538200883393,8.68016198337639
2017-02-23,BR16,manha,0.97463338780304,0.0796344966031681,1.0,1.0,9,4,630,VIS,350,699,nao_irrigado,1.5688806837959002,-0.004918457992917017,0.004918457992917017,8.587193545015774
2017-02-23,BR16,manha,0.97463338780304,0.0796344966031681,1.0,1.0,9,5,629,VIS,350,699,nao_irrigado,1.562904904042915,-0.004868545545125902,0.004868545545125902,8.487376151041563
2017-02-23,BR16,tarde,0.93768641445505,0.12481344633587167,1.0,1.0,15,1,402,VIS,350,699,nao_irrigado,1.9817980092512164,-0.008670510126559018,0.008670510126559018,11.544206042955032
2017-02-23,BR16,tarde,0.93768641445505,0.12481344633587167,1.0,1.0,15,2,1669,SWIR1,1301,1800,irrigado,1.7239807423412907,0.008054729989863358,0.008054729989863358,9.504003249344946
2017-02-23,BR16,tarde,0.93768641445505,0.12481344633587167,1.0,1.0,15,3,401,VIS,350,699,nao_irrigado,1.7812438704252311,-0.00740338966853298,0.00740338966853298,9.346973564003287
2017-02-23,BR16,tarde,0.93768641445505,0.12481344633587167,1.0,1.0,15,4,399,VIS,350,699,nao_irrigado,1.669980793864053,-0.008017740953922084,0.008017740953922084,9.147899944531055
2017-02-23,BR16,tarde,0.93768641445505,0.12481344633587167,1.0,1.0,15,5,403,VIS,350,699,nao_irrigado,1.8350622712798499,-0.006673560398655799,0.006673560398655799,9.108286355061438
2017-02-23,CD202,manha,0.9256287587228523,0.1363554557738227,1.0,1.0,12,1,448,VIS,350,699,nao_irrigado,1.7417106643086617,-0.007896694528697856,0.007896694528697856,10.034580352755219
2017-02-23,CD202,manha,0.9256287587228523,0.1363554557738227,1.0,1.0,12,2,449,VIS,350,699,nao_irrigado,1.6854108196876263,-0.007047581755278554,0.007047581755278554,8.977939075943578
2017-02-23,CD202,manha,0.9256287587228523,0.1363554557738227,1.0,1.0,12,3,447,VIS,350,699,nao_irrigado,1.5969880515840165,-0.0070273438693383185,0.0070273438693383185,8.42127705921268
2017-02-23,CD202,manha,0.9256287587228523,0.1363554557738227,1.0,1.0,12,4,970,NIR,700,1300,nao_irrigado,1.4832569484484273,-0.007805087757982487,0.007805087757982487,8.38024356131982
2017-02-23,CD202,manha,0.9256287587228523,0.1363554557738227,1.0,1.0,12,5,969,NIR,700,1300,nao_irrigado,1.5092601387010653,-0.0069331782762670855,0.0069331782762670855,7.8067763589288575
2017-02-23,CD202,tarde,0.9549076855971999,0.10617475500654586,1.0,1.0,13,1,473,VIS,350,699,nao_irrigado,1.5941416335766847,-0.004523441815287618,0.004523441815287618,6.5095171002049135
2017-02-23,CD202,tarde,0.9549076855971999,0.10617475500654586,1.0,1.0,13,2,1669,SWIR1,1301,1800,irrigado,1.3511828685839118,0.006278178221567362,0.006278178221567362,6.486538459447697
2017-02-23,CD202,tarde,0.9549076855971999,0.10617475500654586,1.0,1.0,13,3,1670,SWIR1,1301,1800,irrigado,1.331633254188821,0.005993896561047306,0.005993896561047306,6.119892750745604
2017-02-23,CD202,tarde,0.9549076855971999,0.10617475500654586,1.0,1.0,13,4,1668,SWIR1,1301,1800,irrigado,1.3283759718799764,0.0058499766836694524,0.0058499766836694524,5.976019745481427
2017-02-23,CD202,tarde,0.9549076855971999,0.10617475500654586,1.0,1.0,13,5,1189,NIR,700,1300,irrigado,1.207702243488968,0.006664149367204742,0.006664149367204742,5.915412629454682
2017-02-23,EMB48,manha,0.8631230551179047,0.1849844215617192,1.0,0.984375,12,1,367,VIS,350,699,irrigado,1.3432856845762078,0.012411443681064472,0.012411443681064472,8.123328824590747
2017-02-23,EMB48,manha,0.8631230551179047,0.1849844215617192,1.0,0.984375,12,2,366,VIS,350,699,irrigado,1.236863082422516,0.011474285536491106,0.011474285536491106,6.969826640305283
2017-02-23,EMB48,manha,0.8631230551179047,0.1849844215617192,1.0,0.984375,12,3,1661,SWIR1,1301,1800,irrigado,1.4288826518776827,0.009528103959067799,0.009528103959067799,6.949061832370354
2017-02-23,EMB48,manha,0.8631230551179047,0.1849844215617192,1.0,0.984375,12,4,971,NIR,700,1300,irrigado,1.4491120528989034,0.009251167106095734,0.009251167106095734,6.905317093622463
2017-02-23,EMB48,manha,0.8631230551179047,0.1849844215617192,1.0,0.984375,12,5,426,VIS,350,699,irrigado,1.3350105800616563,0.01037839178019756,0.01037839178019756,6.900761855934668
2017-02-23,EMB48,tarde,0.9413723342019563,0.12106575258722398,1.0,1.0,15,1,995,NIR,700,1300,nao_irrigado,1.4425368709845245,-0.007525034014084907,0.007525034014084907,8.336668617787655
2017-02-23,EMB48,tarde,0.9413723342019563,0.12106575258722398,1.0,1.0,15,2,990,NIR,700,1300,nao_irrigado,1.3318190522827513,-0.007157256761451978,0.007157256761451978,7.289057946460895
2017-02-23,EMB48,tarde,0.9413723342019563,0.12106575258722398,1.0,1.0,15,3,415,VIS,350,699,nao_irrigado,1.5191776191258666,-0.005638667425290609,0.005638667425290609,7.1738919369177605
2017-02-23,EMB48,tarde,0.9413723342019563,0.12106575258722398,1.0,1.0,15,4,989,NIR,700,1300,nao_irrigado,1.4049406464498064,-0.006426697660927289,0.006426697660927289,7.122516159483048
2017-02-23,EMB48,tarde,0.9413723342019563,0.12106575258722398,1.0,1.0,15,5,968,NIR,700,1300,nao_irrigado,1.2548858249195132,-0.007265918550431373,0.007265918550431373,6.8822920458091374
2017-02-24,BR16,manha,0.9832356166890571,0.06473867335477096,1.0,1.0,14,1,2231,SWIR2,1801,2500,irrigado,1.5938658479492422,0.00606866600045892,0.00606866600045892,11.799463966853727
