target,model,classe,classe_codigo,precision,recall,f1,support
gen_cond,SVM (RBF),IRR|BR16,0,0.6666666666666666,0.5,0.5714285714285714,4
gen_cond,SVM (RBF),IRR|CD202,1,0.3333333333333333,0.25,0.2857142857142857,4
gen_cond,SVM (RBF),IRR|EMB48,2,0.4,0.5,0.4444444444444444,4
gen_cond,SVM (RBF),NIRR|BR16,3,0.6666666666666666,0.5,0.5714285714285714,4
gen_cond,SVM (RBF),NIRR|CD202,4,0.5,0.75,0.6,4
gen_cond,SVM (RBF),NIRR|EMB48,5,0.75,0.75,0.75,4
