target,model,classe,classe_codigo,precision,recall,f1,support
cond,LDA,IRR,0,0.7272727272727273,0.6666666666666666,0.6956521739130435,12
cond,LDA,NIRR,1,0.6923076923076923,0.75,0.72,12
