analysis_id,analysis_label,dia,cultivar,modelo,real,Nao irrigado,Irrigado
dia3_CD202,dia3 - CD202,dia3,CD202,Random Forest,Nao irrigado,4,0
dia3_CD202,dia3 - CD202,dia3,CD202,Random Forest,Irrigado,1,3
