wavelength,coefficient,abs_coefficient,vip,direction
383,0.07190902753791227,0.07190902753791227,1.3885892678822103,irrigado
359,0.04955426951466779,0.04955426951466779,1.3860527039057844,irrigado
373,-0.0813348925662725,0.0813348925662725,1.3841323867799329,nao_irrigado
364,0.0772908431288452,0.0772908431288452,1.382990116466931,irrigado
363,-0.055838009598127805,0.055838009598127805,1.37996760227308,nao_irrigado
382,-0.018596332790669596,0.018596332790669596,1.3794342567188989,nao_irrigado
381,-0.048232191108029954,0.048232191108029954,1.3787330375200306,nao_irrigado
372,-0.048660004012396785,0.048660004012396785,1.3777901312023544,nao_irrigado
384,0.07361477920604223,0.07361477920604223,1.37582277691404,irrigado
386,0.035425516897105574,0.035425516897105574,1.3757303451414296,irrigado
376,0.06395597615404963,0.06395597615404963,1.3754886391388979,irrigado
377,0.06941042023911487,0.06941042023911487,1.3753539838482454,irrigado
375,0.10063296073558418,0.10063296073558418,1.373718379635259,irrigado
368,0.011938448236882835,0.011938448236882835,1.3727932460014867,irrigado
369,0.0008577015097202059,0.0008577015097202059,1.3722987175146795,irrigado
374,-0.05769544322370755,0.05769544322370755,1.371515805642212,nao_irrigado
390,0.15292049882583003,0.15292049882583003,1.371271400190994,irrigado
367,0.09135254437778831,0.09135254437778831,1.3700161681191523,irrigado
378,0.14876355313238837,0.14876355313238837,1.3697892745982958,irrigado
391,0.06874133314443867,0.06874133314443867,1.36780732773441,irrigado
380,-0.014507738688323276,0.014507738688323276,1.3648919408346047,nao_irrigado
387,-0.0389768905203319,0.0389768905203319,1.363799351214783,nao_irrigado
385,0.031550863193411285,0.031550863193411285,1.3629235951670615,irrigado
370,0.013481189575192617,0.013481189575192617,1.3628579613486878,irrigado
360,-0.03532112148362489,0.03532112148362489,1.3625449215265968,nao_irrigado
392,0.014827305011317984,0.014827305011317984,1.3581683607754855,irrigado
365,-0.06929120793340962,0.06929120793340962,1.3578321802835192,nao_irrigado
389,0.07099128229115423,0.07099128229115423,1.3569524679463174,irrigado
379,0.06769685797325248,0.06769685797325248,1.3552969262130257,irrigado
371,-0.033404591916608106,0.033404591916608106,1.3539330661995552,nao_irrigado
388,-0.032797620844225314,0.032797620844225314,1.3537115109058508,nao_irrigado
366,-0.09761382191172821,0.09761382191172821,1.352643511511836,nao_irrigado
393,0.08761675821277531,0.08761675821277531,1.3511499357046068,irrigado
358,-0.0009554535654106959,0.0009554535654106959,1.3424983251487863,nao_irrigado
362,0.0032444185815752955,0.0032444185815752955,1.3423296867174077,irrigado
394,0.1018830674434307,0.1018830674434307,1.341845014758743,irrigado
361,0.03108048268552112,0.03108048268552112,1.3375404706093543,irrigado
395,-0.14507156019377854,0.14507156019377854,1.3254199188169395,nao_irrigado
401,0.08684624968898572,0.08684624968898572,1.3224804348367885,irrigado
399,0.07444739552656526,0.07444739552656526,1.3221933007606415,irrigado
398,0.09485645043089781,0.09485645043089781,1.3200183530748777,irrigado
400,-0.005009279120326152,0.005009279120326152,1.3187798926620182,nao_irrigado
355,0.02643877027563684,0.02643877027563684,1.3166014152903607,irrigado
714,-0.04200917193134257,0.04200917193134257,1.316391895298686,nao_irrigado
713,-0.04870257180882524,0.04870257180882524,1.3162537252033846,nao_irrigado
396,-0.3106322971743797,0.3106322971743797,1.3153826068176235,nao_irrigado
715,-0.037240312064619085,0.037240312064619085,1.3134960005106546,nao_irrigado
712,-0.05293631471723162,0.05293631471723162,1.313095417503059,nao_irrigado
397,-0.06680859502809587,0.06680859502809587,1.3118367463221419,nao_irrigado
356,-0.02829269461167619,0.02829269461167619,1.3096251374080057,nao_irrigado
402,-0.049769521033343936,0.049769521033343936,1.308494919851046,nao_irrigado
716,-0.03274998687103807,0.03274998687103807,1.3074650214664507,nao_irrigado
711,-0.0553564388218133,0.0553564388218133,1.3059986157768815,nao_irrigado
357,-0.048274830174085424,0.048274830174085424,1.3054572677875846,nao_irrigado
403,-0.10848840620886566,0.10848840620886566,1.2992296358135087,nao_irrigado
717,-0.026443557440695868,0.026443557440695868,1.2984440464810945,nao_irrigado
404,-1.9900797265147777e-06,1.9900797265147777e-06,1.2976289379394168,nao_irrigado
710,-0.05628301353585665,0.05628301353585665,1.2945604905895411,nao_irrigado
354,0.030174576369520922,0.030174576369520922,1.2923550442475569,irrigado
718,-0.018290220756152484,0.018290220756152484,1.287067935096286,nao_irrigado
405,-0.10969026028641485,0.10969026028641485,1.2870025541273569,nao_irrigado
407,0.1330431419270685,0.1330431419270685,1.285806069856252,irrigado
406,0.031494690670281406,0.031494690670281406,1.2855731771675862,irrigado
410,-0.08097774683038345,0.08097774683038345,1.2827315513317634,nao_irrigado
409,-0.1734842160849713,0.1734842160849713,1.2826804034129844,nao_irrigado
412,0.07807665953096762,0.07807665953096762,1.2817566286988715,irrigado
411,0.07002634088909243,0.07002634088909243,1.2797760294711493,irrigado
709,-0.05535548334304976,0.05535548334304976,1.27907863604768,nao_irrigado
417,0.010466409128375513,0.010466409128375513,1.2776282349724706,irrigado
418,0.06783930737756984,0.06783930737756984,1.2768770577634694,irrigado
408,-0.08688218617677096,0.08688218617677096,1.2765675829170686,nao_irrigado
413,-0.07438387821454145,0.07438387821454145,1.2759763508350521,nao_irrigado
719,-0.011775237856716077,0.011775237856716077,1.2738341546689165,nao_irrigado
416,-0.06316611821524631,0.06316611821524631,1.2729468898109846,nao_irrigado
415,0.010727722644886256,0.010727722644886256,1.2724304656546492,irrigado
414,-0.10766374377930318,0.10766374377930318,1.2720349434752591,nao_irrigado
425,0.040128937098923775,0.040128937098923775,1.2688860881101942,irrigado
424,0.04211951868464507,0.04211951868464507,1.266994674982735,irrigado
426,-0.040024661580703315,0.040024661580703315,1.2667896755821875,nao_irrigado
