sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.44208029700037355
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.44562492391759645
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.43827695087802954
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.4089305225149211
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.8001137786894459
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.8872641474280533
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.8322150855356074
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.8533371853784824
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.5802658526632121
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.5793040362059966
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.5477524672070342
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.5346165603855252
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.4874169298622167
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.5279885967887552
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.4978756589468323
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.47008249663904783
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.40863418464098833
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.36588337631693113
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.366475449903731
