data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D05M,MANHA,gen_cond,1,1522.0,1.1315648523717676e-24,8.288712543623197e-23
D05M,MANHA,gen_cond,2,400.0,8.615389890989238e-23,2.0546703100487126e-21
D05M,MANHA,gen_cond,3,1590.0,8.95034146594416e-22,9.178575173325735e-21
D05M,MANHA,gen_cond,4,530.0,6.671651392400135e-20,3.591484778428524e-19
D05M,MANHA,gen_cond,5,1729.0,1.6626533827674439e-16,4.716600398417742e-16
D05M,MANHA,cond,1,400.0,3.963761694857789e-24,1.94164811026957e-22
D05M,MANHA,cond,2,1536.0,3.2432956907610806e-21,4.210126241614542e-20
D05M,MANHA,cond,3,1600.0,2.3965453696610865e-17,1.3615829787188056e-16
D05M,MANHA,cond,4,530.0,2.060759843821402e-14,8.453236879355392e-14
D05M,MANHA,cond,5,739.0,8.005377745871075e-13,2.845585746409285e-12
D05M,MANHA,gen,1,706.0,4.0441481755538875e-17,2.0916263692417802e-14
D05M,MANHA,gen,2,1730.0,3.3699116891363938e-15,2.993617599990181e-13
D05M,MANHA,gen,3,980.0,4.0927720604985163e-13,7.622351894322498e-12
D05M,MANHA,gen,4,553.0,6.875952766758512e-11,3.0393489492719197e-10
D05M,MANHA,gen,5,1386.0,7.698052650733927e-11,3.310001255064001e-10
D06M,MANHA,gen_cond,1,401.0,9.595842669736958e-30,1.3106927168707852e-28
D06M,MANHA,gen_cond,2,530.0,2.89875825080014e-29,2.359267131901225e-28
D06M,MANHA,gen_cond,3,1526.0,5.525642733981947e-29,4.4443502930968525e-28
D06M,MANHA,gen_cond,4,729.0,3.472477278361381e-23,1.3617688141336887e-22
D06M,MANHA,gen_cond,5,1600.0,1.6291720042965754e-21,5.358865411126331e-21
D06M,MANHA,cond,1,400.0,5.172735611129154e-33,7.549372294188427e-32
D06M,MANHA,cond,2,1539.0,1.7024852455431665e-30,1.4194297717922904e-29
D06M,MANHA,cond,3,530.0,1.7918644941983078e-27,1.0323354150563847e-26
D06M,MANHA,cond,4,1610.0,3.4095343905865166e-20,9.891025509325242e-20
D06M,MANHA,cond,5,1939.0,5.265778227203991e-19,1.4323754832885127e-18
D06M,MANHA,gen,1,721.0,5.839945694371465e-21,2.9944321547889685e-18
D06M,MANHA,gen,2,551.0,1.4920562573791132e-09,8.30799279839887e-08
D06M,MANHA,gen,3,1391.0,1.72483567975497e-05,0.000447802275845246
D09M,MANHA,gen_cond,1,400.0,2.2640110649333037e-27,4.643486694178206e-24
D09M,MANHA,gen_cond,2,1521.0,9.718592781466912e-23,1.755938436187981e-21
D09M,MANHA,gen_cond,3,719.0,5.985863091033491e-20,4.910802079883876e-19
D09M,MANHA,gen_cond,4,1969.0,1.9953032956160133e-17,9.217042926370368e-17
D09M,MANHA,gen_cond,5,530.0,5.675535543185635e-17,2.4454881090491045e-16
D09M,MANHA,cond,1,400.0,5.8582326335260375e-30,1.2015235131361903e-26
D09M,MANHA,cond,2,1530.0,4.579923412563878e-21,5.658688505523201e-20
D09M,MANHA,cond,3,579.0,1.586916248928106e-14,9.142598950987489e-14
D09M,MANHA,cond,4,1590.0,1.799158805784468e-13,9.81402848580836e-13
D09M,MANHA,cond,5,1989.0,1.0743298448631464e-10,4.3289793945271383e-10
D09M,MANHA,gen,1,721.0,9.000784240514122e-14,4.117944697422066e-11
D09M,MANHA,gen,2,552.0,7.589104348216443e-09,4.3442101540764464e-07
D09M,MANHA,gen,3,740.0,4.186632526379314e-05,0.000867351849656967
D09T,TARDE,gen_cond,1,717.0,5.731779355410676e-21,2.519401067543116e-18
D09T,TARDE,gen_cond,2,550.0,3.07386292224954e-14,1.5893122130088288e-12
D09T,TARDE,gen_cond,3,1383.0,4.590113618513825e-14,2.0030474535259266e-12
D09T,TARDE,gen_cond,4,1901.0,4.178793639020097e-12,8.485847280821998e-11
D09T,TARDE,gen_cond,5,1369.0,2.348648013028882e-11,3.6771580723070513e-10
D09T,TARDE,cond,1,1900.0,2.311605112312305e-13,9.788810630771363e-11
D09T,TARDE,cond,2,1383.0,2.5891718886379003e-12,2.794942917682281e-10
D09T,TARDE,cond,3,415.0,3.70507725509072e-10,1.0702976690409953e-08
D09T,TARDE,cond,4,1369.0,7.245177856912433e-08,6.377622225119056e-07
D09T,TARDE,cond,5,1639.0,1.9115262264149233e-07,1.5435197993610267e-06
D09T,TARDE,gen,1,712.0,1.120694881844327e-16,1.3520854133310085e-14
D09T,TARDE,gen,2,550.0,1.5313627456216467e-13,8.588470537327283e-12
D09T,TARDE,gen,3,740.0,2.6797292372042952e-08,5.234404443339057e-07
D09T,TARDE,gen,4,1360.0,1.8424063144478764e-07,3.3739065633326737e-06
D09T,TARDE,gen,5,1380.0,1.1225878095971501e-05,0.00014759151265921505
D10M,MANHA,gen_cond,1,400.0,3.7395542182630735e-21,1.0993690986656137e-18
