row_number,nomenclaura,bloco_normalizado,genotipo_normalizado,condicao_normalizada,data_coleta_raw,data_coleta_iso,turno
53,B2_BR16_IRRIG_REPROD00003.asd,B2,BR16,irrigado,20170223,2017-02-23,manha
54,B2_BR16_IRRIG_REPROD00004.asd,B2,BR16,irrigado,20170223,2017-02-23,manha
55,B2_BR16_IRRIG_REPROD00005.asd,B2,BR16,irrigado,20170223,2017-02-23,manha
56,B2_BR16_IRRIG_REPROD00006.asd,B2,BR16,irrigado,20170223,2017-02-23,manha
57,B2_BR16_IRRIG_REPROD00007.asd,B2,BR16,irrigado,20170223,2017-02-23,manha
58,B2_BR16_NIRRIG_REPROD00000.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
59,B2_BR16_NIRRIG_REPROD00001.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
60,B2_BR16_NIRRIG_REPROD00002.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
61,B2_BR16_NIRRIG_REPROD00003.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
62,B2_BR16_NIRRIG_REPROD00004.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
63,B2_BR16_NIRRIG_REPROD00005.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
64,B2_BR16_NIRRIG_REPROD00006.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
65,B2_BR16_NIRRIG_REPROD00007.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,manha
66,B2_CD202_IRRIG_REPROD00000.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
67,B2_CD202_IRRIG_REPROD00001.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
68,B2_CD202_IRRIG_REPROD00002.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
69,B2_CD202_IRRIG_REPROD00003.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
70,B2_CD202_IRRIG_REPROD00004.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
71,B2_CD202_IRRIG_REPROD00005.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
72,B2_CD202_IRRIG_REPROD00006.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
73,B2_CD202_IRRIG_REPROD00007.asd,B2,CD202,irrigado,20170223,2017-02-23,manha
74,B2_CD202_NIRRIG_REPROD00000.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
75,B2_CD202_NIRRIG_REPROD00001.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
76,B2_CD202_NIRRIG_REPROD00002.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
77,B2_CD202_NIRRIG_REPROD00003.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
78,B2_CD202_NIRRIG_REPROD00004.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
79,B2_CD202_NIRRIG_REPROD00005.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
80,B2_CD202_NIRRIG_REPROD00006.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
81,B2_CD202_NIRRIG_REPROD00007.asd,B2,CD202,nao_irrigado,20170223,2017-02-23,manha
82,B2_EMB48_IRRIG_REPROD00000.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
83,B2_EMB48_IRRIG_REPROD00001.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
84,B2_EMB48_IRRIG_REPROD00002.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
85,B2_EMB48_IRRIG_REPROD00003.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
86,B2_EMB48_IRRIG_REPROD00004.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
87,B2_EMB48_IRRIG_REPROD00005.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
88,B2_EMB48_IRRIG_REPROD00006.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
89,B2_EMB48_IRRIG_REPROD00007.asd,B2,EMB48,irrigado,20170223,2017-02-23,manha
90,B2_EMB48_NIRRIG_REPROD00000.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
91,B2_EMB48_NIRRIG_REPROD00001.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
92,B2_EMB48_NIRRIG_REPROD00002.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
93,B2_EMB48_NIRRIG_REPROD00003.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
94,B2_EMB48_NIRRIG_REPROD00004.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
95,B2_EMB48_NIRRIG_REPROD00005.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
96,B2_EMB48_NIRRIG_REPROD00006.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
97,B2_EMB48_NIRRIG_REPROD00007.asd,B2,EMB48,nao_irrigado,20170223,2017-02-23,manha
98,B3_BR16_IRRIG_REPROD00000.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
99,B3_BR16_IRRIG_REPROD00001.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
100,B3_BR16_IRRIG_REPROD00002.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
101,B3_BR16_IRRIG_REPROD00003.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
102,B3_BR16_IRRIG_REPROD00004.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
103,B3_BR16_IRRIG_REPROD00005.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
104,B3_BR16_IRRIG_REPROD00006.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
105,B3_BR16_IRRIG_REPROD00007.asd,B3,BR16,irrigado,20170223,2017-02-23,manha
106,B3_BR16_NIRRIG_REPROD00000.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
107,B3_BR16_NIRRIG_REPROD00001.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
108,B3_BR16_NIRRIG_REPROD00002.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
109,B3_BR16_NIRRIG_REPROD00003.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
110,B3_BR16_NIRRIG_REPROD00004.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
111,B3_BR16_NIRRIG_REPROD00005.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
112,B3_BR16_NIRRIG_REPROD00006.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
113,B3_BR16_NIRRIG_REPROD00007.asd,B3,BR16,nao_irrigado,20170223,2017-02-23,manha
114,B3_CD202_IRRIG_REPROD00000.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
115,B3_CD202_IRRIG_REPROD00001.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
116,B3_CD202_IRRIG_REPROD00002.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
117,B3_CD202_IRRIG_REPROD00003.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
118,B3_CD202_IRRIG_REPROD00004.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
119,B3_CD202_IRRIG_REPROD00005.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
120,B3_CD202_IRRIG_REPROD00006.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
121,B3_CD202_IRRIG_REPROD00007.asd,B3,CD202,irrigado,20170223,2017-02-23,manha
122,B3_CD202_NIRRIG_REPROD00000.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
123,B3_CD202_NIRRIG_REPROD00001.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
124,B3_CD202_NIRRIG_REPROD00002.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
125,B3_CD202_NIRRIG_REPROD00003.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
126,B3_CD202_NIRRIG_REPROD00004.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
127,B3_CD202_NIRRIG_REPROD00005.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
128,B3_CD202_NIRRIG_REPROD00006.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
129,B3_CD202_NIRRIG_REPROD00007.asd,B3,CD202,nao_irrigado,20170223,2017-02-23,manha
130,B3_EMB48_IRRIG_REPROD00000.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
131,B3_EMB48_IRRIG_REPROD00001.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
132,B3_EMB48_IRRIG_REPROD00002.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
133,B3_EMB48_IRRIG_REPROD00003.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
134,B3_EMB48_IRRIG_REPROD00004.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
135,B3_EMB48_IRRIG_REPROD00005.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
136,B3_EMB48_IRRIG_REPROD00006.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
137,B3_EMB48_IRRIG_REPROD00007.asd,B3,EMB48,irrigado,20170223,2017-02-23,manha
138,B3_EMB48_NIRRIG_REPROD00000.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
139,B3_EMB48_NIRRIG_REPROD00001.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
140,B3_EMB48_NIRRIG_REPROD00002.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
141,B3_EMB48_NIRRIG_REPROD00003.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
142,B3_EMB48_NIRRIG_REPROD00004.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
143,B3_EMB48_NIRRIG_REPROD00005.asd,B3,EMB48,nao_irrigado,20170223,2017-02-23,manha
