condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
IRR,band_350,350,0.1565349528711587,0.028692477921132224,72
IRR,band_351,351,0.15609591202886192,0.028488049325062544,72
IRR,band_352,352,0.15503012026916657,0.028096110257919447,72
IRR,band_353,353,0.1533451668110718,0.027738393226792214,72
IRR,band_354,354,0.15120949806172337,0.027329039091262088,72
IRR,band_355,355,0.14899304845189973,0.026861432741607082,72
IRR,band_356,356,0.14720866187489004,0.02642656179553394,72
IRR,band_357,357,0.14529122558956073,0.02605275071879968,72
IRR,band_358,358,0.1433855234057241,0.025761222851729416,72
IRR,band_359,359,0.1416819942080437,0.02551015841566087,72
IRR,band_360,360,0.13994137924435415,0.025255970366536713,72
IRR,band_361,361,0.13813417556852786,0.025007184835372138,72
IRR,band_362,362,0.13638877433928592,0.024830653323030364,72
IRR,band_363,363,0.13451629762887973,0.024719833687020753,72
IRR,band_364,364,0.1326372840783527,0.024551887553680228,72
IRR,band_365,365,0.1309131289333233,0.0242903177917808,72
IRR,band_366,366,0.12925671133210967,0.024017491598002982,72
IRR,band_367,367,0.12742491657762425,0.023815453325451156,72
IRR,band_368,368,0.12558389582271923,0.023662249397707134,72
IRR,band_369,369,0.12390966769883728,0.023439647009648096,72
IRR,band_370,370,0.12220398372213885,0.023161747913967162,72
IRR,band_371,371,0.12051779227831055,0.022886188281484133,72
IRR,band_372,372,0.11886805708161215,0.02261444230199068,72
IRR,band_373,373,0.11726344713030902,0.022322795936556894,72
IRR,band_374,374,0.11576343908130024,0.021996349120785626,72
IRR,band_375,375,0.11436490073194092,0.02170123375862602,72
IRR,band_376,376,0.11302151659436593,0.02145444461893318,72
IRR,band_377,377,0.1116666852663517,0.021202300172905583,72
IRR,band_378,378,0.1104152588874386,0.020962055878315334,72
IRR,band_379,379,0.10924879149364661,0.02069444930033169,72
IRR,band_380,380,0.10812088856401819,0.020382508553632096,72
IRR,band_381,381,0.10701525879473116,0.020093182907661888,72
IRR,band_382,382,0.10590762865113292,0.01982378660311323,72
IRR,band_383,383,0.10484597999043152,0.019575767324742945,72
IRR,band_384,384,0.10387407581849674,0.019363748124357944,72
IRR,band_385,385,0.10293030797218977,0.019202454653933377,72
IRR,band_386,386,0.10205598044210795,0.019030137885113423,72
IRR,band_387,387,0.10124766690515226,0.018836676947821263,72
IRR,band_388,388,0.10048430441503847,0.01863316843244141,72
IRR,band_389,389,0.09973853657438357,0.018394780803570186,72
IRR,band_390,390,0.09899632526417437,0.01814952098851534,72
IRR,band_391,391,0.09826663099919308,0.01793289406925117,72
IRR,band_392,392,0.09756558718139939,0.01775642295368561,72
IRR,band_393,393,0.09691299537833982,0.017606031884480563,72
IRR,band_394,394,0.0963127839912586,0.017491329605448965,72
IRR,band_395,395,0.0957617806643351,0.017405316103259526,72
IRR,band_396,396,0.09528101067998157,0.017296246987927706,72
IRR,band_397,397,0.09480144717468197,0.017152840850381774,72
IRR,band_398,398,0.09429084627148628,0.017016685546250226,72
IRR,band_399,399,0.09377010670327163,0.016888801099310964,72
IRR,band_400,400,0.09323886749442192,0.016738641749682523,72
IRR,band_401,401,0.09271813203254714,0.016617672776728574,72
IRR,band_402,402,0.09221526848921305,0.016521887079312833,72
IRR,band_403,403,0.09172212213786203,0.016409344062411717,72
IRR,band_404,404,0.0912311045617819,0.016308399448810584,72
IRR,band_405,405,0.0907524798724287,0.016222427852026836,72
IRR,band_406,406,0.09027929556330158,0.016133534449084795,72
IRR,band_407,407,0.08978748819531482,0.016025334619785114,72
IRR,band_408,408,0.08928244002478165,0.015937171078666438,72
IRR,band_409,409,0.08878211361983297,0.015876751713120803,72
IRR,band_410,410,0.08830003160431038,0.015801602846823404,72
IRR,band_411,411,0.08782997999940788,0.015736258034453304,72
IRR,band_412,412,0.08738004041269713,0.01565717393803709,72
IRR,band_413,413,0.08693548149596511,0.015549608973192332,72
IRR,band_414,414,0.0864791665256397,0.015444005929650579,72
IRR,band_415,415,0.08602699507130235,0.015361346213643337,72
IRR,band_416,416,0.0855880914533446,0.015287213757092914,72
IRR,band_417,417,0.08516457968381078,0.015209600151072282,72
IRR,band_418,418,0.0847631556511715,0.015134728421592164,72
IRR,band_419,419,0.08437792630475854,0.015082014584482467,72
IRR,band_420,420,0.08398432165083085,0.015040641758763976,72
IRR,band_421,421,0.08357123658791552,0.014985135498439727,72
IRR,band_422,422,0.0831770756043984,0.0149203977327516,72
IRR,band_423,423,0.08278683247481099,0.014849353834083909,72
IRR,band_424,424,0.08238294196505537,0.014776411401212788,72
IRR,band_425,425,0.08197051263952804,0.014712433363917681,72
IRR,band_426,426,0.08157773325963814,0.014648819369584827,72
IRR,band_427,427,0.08120689979910803,0.014583451778928362,72
IRR,band_428,428,0.08084863042533984,0.014518180778410363,72
IRR,band_429,429,0.08049037066233014,0.014447973148248033,72
IRR,band_430,430,0.08011967586065907,0.014379191103390646,72
IRR,band_431,431,0.07974614365573655,0.01430728027134148,72
IRR,band_432,432,0.07938598080663768,0.014234872646383064,72
IRR,band_433,433,0.07902719995421353,0.01417543955212783,72
IRR,band_434,434,0.07866539217626482,0.014123540748758056,72
IRR,band_435,435,0.07831679322304098,0.014072482932667456,72
IRR,band_436,436,0.07800209119344045,0.014022484825304979,72
IRR,band_437,437,0.07770024717272533,0.013970742787238354,72
IRR,band_438,438,0.07740397294995943,0.013913698233286614,72
IRR,band_439,439,0.0771116199465831,0.013854413406220779,72
IRR,band_440,440,0.07682505306236143,0.013801875446209652,72
IRR,band_441,441,0.07656095829551719,0.013743751677938105,72
IRR,band_442,442,0.07631293534953128,0.013683185322762715,72
IRR,band_443,443,0.07606867123189515,0.01363213109513231,72
IRR,band_444,444,0.0758286749563248,0.013585575396132633,72
IRR,band_445,445,0.07559587156386419,0.013541074079205231,72
IRR,band_446,446,0.0753731275742274,0.013499467192514453,72
IRR,band_447,447,0.07515294552534012,0.013461879487949628,72
